,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
15,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.4864091559370529,5,10,0.5915492957746479,0.463768115942029,0.5142857142857142,0.4714285714285714,0.45714285714285713,0.5285714285714286,0.45714285714285713,0.42857142857142855,0.5428571428571428,0.4057971014492754,0.05393354320004019,0.056321334838867185,0.9222416400909423,0.008085680007934571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
16,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.5135908440629471,5,50,0.5915492957746479,0.5507246376811594,0.42857142857142855,0.4714285714285714,0.5285714285714286,0.5428571428571428,0.5428571428571428,0.45714285714285713,0.4857142857142857,0.5362318840579711,0.04782879378087605,0.05984141826629639,0.9384422779083252,0.008904838562011718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
17,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.4907010014306152,5,100,0.49295774647887325,0.5217391304347826,0.42857142857142855,0.45714285714285713,0.5428571428571428,0.5428571428571428,0.5142857142857142,0.45714285714285713,0.4857142857142857,0.463768115942029,0.037185820835557326,0.06336150169372559,0.9925869703292847,0.009720087051391602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
18,Cascading:Unable to make 500 chunks of 5 examples each,1,0.0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06688158512115479,1.0165265321731567,0.009720087051391602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
19,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07040166854858398,1.036135983467102,0.009720087051391602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
20,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.4792560801144492,7,10,0.36619718309859156,0.5507246376811594,0.5142857142857142,0.45714285714285713,0.5,0.44285714285714284,0.5428571428571428,0.4857142857142857,0.42857142857142855,0.5072463768115942,0.05366526266017837,0.07392175197601318,1.0677104949951173,0.010536408424377442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
21,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.5021459227467812,7,50,0.5211267605633803,0.5072463768115942,0.44285714285714284,0.5,0.5428571428571428,0.5285714285714286,0.5428571428571428,0.44285714285714284,0.5,0.4927536231884058,0.03395163343311877,0.07744183540344238,1.0968810796737671,0.011348557472229005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
22,Cascading:Unable to make 100 chunks of 7 examples each,1,0.0,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08096191883087159,1.1090733766555787,0.011348557472229005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
23,Cascading:Unable to make 500 chunks of 7 examples each,1,0.0,7,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08448200225830078,1.1212968349456787,0.011348557472229005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
24,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.0,7,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08800208568572998,1.1317224264144898,0.011348557472229005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
25,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.49642346208869814,10,10,0.6056338028169014,0.5507246376811594,0.4714285714285714,0.4714285714285714,0.6,0.5142857142857142,0.4857142857142857,0.4,0.4142857142857143,0.4492753623188406,0.06749346296567947,0.09152216911315918,1.1363730669021606,0.012156105041503907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
26,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.4978540772532189,10,50,0.49295774647887325,0.5362318840579711,0.4142857142857143,0.4857142857142857,0.5571428571428572,0.5285714285714286,0.5285714285714286,0.44285714285714284,0.5,0.4927536231884058,0.04133448847193502,0.09504225254058837,1.1644771099090576,0.012976789474487304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
27,Cascading:Unable to make 100 chunks of 10 examples each,1,0.0,10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09856233596801758,1.1802109479904175,0.012976789474487304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
28,Cascading:Unable to make 500 chunks of 10 examples each,1,0.0,10,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10208241939544678,1.1940319061279296,0.012976789474487304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
29,Cascading:Unable to make 1000 chunks of 10 examples each,1,0.0,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10560250282287598,1.2038783311843873,0.012976789474487304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
