,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
15,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8636363636363636,0.0,0.7619047619047619,0.5714285714285714,0.9047619047619048,0.7619047619047619,0.7142857142857143,0.6666666666666666,0.8,0.85,0.1,100000,0.25,False,0.24811355221969447,0.05835151672363281,225.93184649944305,0.016124725341796875,stand+SDML+kNN,sonar
16,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.0,0.0,0.7142857142857143,0.9047619047619048,0.0,0.8571428571428571,0.9047619047619048,0.95,0.95,0.25,10000,0.01,True,0.41737871131878723,0.06199848651885986,226.81597554683685,0.017268276214599608,stand+SDML+kNN,sonar
17,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8636363636363636,0.0,0.8095238095238095,0.0,0.0,0.8571428571428571,0.7619047619047619,0.0,0.0,0.95,0.25,10000,0.01,False,0.4265274452269518,0.06564545631408691,228.65197923183442,0.018053221702575683,stand+SDML+kNN,sonar
18,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.8,0.6666666666666666,0.8095238095238095,0.9047619047619048,0.7619047619047619,1.0,0.7619047619047619,0.85,1.0,0.25,10000,0.05,True,0.1111170349894768,0.06929242610931396,229.5989777326584,0.019583535194396973,stand+SDML+kNN,sonar
19,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9090909090909091,0.0,0.0,0.6666666666666666,0.9047619047619048,0.0,0.7619047619047619,0.7142857142857143,0.0,0.95,0.25,10000,0.05,False,0.4092807737559525,0.07293939590454102,231.55461423397065,0.020528841018676757,stand+SDML+kNN,sonar
20,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9545454545454546,0.7,0.9047619047619048,0.8095238095238095,0.9523809523809523,0.7142857142857143,0.7142857142857143,0.8095238095238095,0.85,1.0,0.25,10000,0.1,True,0.10425993519417,0.07658636569976807,232.801247048378,0.022084832191467285,stand+SDML+kNN,sonar
21,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8181818181818182,0.75,0.7619047619047619,0.0,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.0,0.85,0.0,0.25,10000,0.1,False,0.38208722397773304,0.08023333549499512,234.41236898899078,0.023176050186157225,stand+SDML+kNN,sonar
22,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.8,0.6190476190476191,0.8571428571428571,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.8571428571428571,0.8,1.0,0.25,10000,0.25,True,0.11251001467140846,0.08388030529022217,235.45155351161958,0.024670124053955078,stand+SDML+kNN,sonar
23,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.7272727272727273,0.7,0.6666666666666666,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.0,0.6190476190476191,0.8,0.0,0.25,10000,0.25,False,0.30370458377180726,0.08752727508544922,236.99917476177217,0.0251953125,stand+SDML+kNN,sonar
24,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.8,0.8571428571428571,0.7619047619047619,0.9523809523809523,0.7619047619047619,0.8571428571428571,0.0,0.8,0.0,0.25,100000,0.01,True,0.3826817887931472,0.09117424488067627,263.31055479049684,0.025663113594055174,stand+SDML+kNN,sonar
