,cmaes__knn_weights,cmaes__metric,cmaes__n_gen,cmaes__n_neighbors,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,uniform,diagonal,100,1,,1,0.9527896995708155,0.9295774647887324,0.9565217391304348,0.9714285714285714,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9130434782608695,0.019334906903547874,0.0031911373138427735,52.47091653347015,0.002162003517150879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
1,uniform,diagonal,100,4,,1,0.9527896995708155,0.9577464788732394,0.9710144927536232,0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9857142857142858,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.927536231884058,0.01708555465110879,0.006382274627685547,104.90745482444763,0.004240798950195313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
2,uniform,diagonal,100,8,,1,0.9527896995708155,0.9577464788732394,0.9565217391304348,0.9571428571428572,0.9571428571428572,0.9857142857142858,0.9857142857142858,0.9285714285714286,0.9,0.9857142857142858,0.9130434782608695,0.02877757415424373,0.009573411941528321,156.25588974952697,0.006107950210571289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
3,uniform,diagonal,100,16,,1,0.9527896995708155,0.9577464788732394,0.9420289855072463,0.9571428571428572,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9130434782608695,0.018454428145260934,0.012764549255371094,210.4471905708313,0.007977509498596191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
4,uniform,diagonal,250,1,,1,0.9542203147353362,0.9577464788732394,0.9420289855072463,0.9571428571428572,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9565217391304348,0.015451669001257395,0.015955686569213867,343.29711973667145,0.0098954439163208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
5,uniform,diagonal,250,4,,1,0.9628040057224606,0.9577464788732394,0.9710144927536232,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9857142857142858,0.9857142857142858,0.9571428571428572,0.9714285714285714,0.9130434782608695,0.020668601287036046,0.019146823883056642,476.99271364212035,0.011794519424438477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
6,uniform,diagonal,250,8,,1,0.9585121602288984,0.9436619718309859,0.9855072463768116,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9857142857142858,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9565217391304348,0.021540163545256452,0.022337961196899413,610.6636153697967,0.013631463050842285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
7,uniform,diagonal,250,16,,1,0.9570815450643777,0.9436619718309859,0.9565217391304348,0.9714285714285714,0.9428571428571428,0.9571428571428572,1.0,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9420289855072463,0.018076643765431125,0.025529098510742188,746.3315553665161,0.015424513816833496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
8,uniform,diagonal,1000,1,,1,0.9556509298998569,0.9436619718309859,0.9710144927536232,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9857142857142858,0.9285714285714286,0.9428571428571428,0.9857142857142858,0.9420289855072463,0.019611768791689438,0.02872023582458496,1273.8816250324248,0.017231440544128417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
9,uniform,diagonal,1000,4,,1,0.9513590844062947,0.9577464788732394,0.9565217391304348,0.9714285714285714,0.9428571428571428,0.9428571428571428,1.0,0.9428571428571428,0.9142857142857143,0.9714285714285714,0.9130434782608695,0.02509640745232819,0.031911373138427734,1801.6182823419572,0.019061684608459473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer-wisconsin
