,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
20,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.05933897495269776,24591.3234320879,0.02023131847381592,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
21,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.06216464042663574,25295.987765693666,0.02156336307525635,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
22,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.06499030590057372,26672.306420254707,0.02292654514312744,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
23,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.06781597137451172,29042.86091709137,0.024045896530151368,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
24,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.07064163684844971,29191.471024560928,0.024628067016601564,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
25,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.0734673023223877,29899.120950627326,0.02520122528076172,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
26,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.07629296779632569,31300.347699403763,0.025786495208740233,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
27,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.07911863327026367,34130.92379105091,0.026361513137817382,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
28,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.08194429874420166,34272.277071118355,0.026942181587219238,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
29,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.08476996421813965,34976.94140472412,0.027521467208862303,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
30,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.08759562969207764,36353.26005928517,0.02810342311859131,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
31,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.09042129516601563,38723.814556121826,0.028687167167663574,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
32,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.09324696063995361,38872.42466359139,0.029259681701660156,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
33,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.0960726261138916,39580.07458965779,0.02985856533050537,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
34,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.09889829158782959,40981.30133843422,0.0304354190826416,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
35,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.10172395706176758,43811.87743008137,0.031024408340454102,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
36,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.10454962253570557,43953.23071014881,0.03159797191619873,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
37,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.10737528800964355,44657.89504375458,0.03218681812286377,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
38,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.11020095348358154,46034.21369831562,0.032830548286437986,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
39,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.11302661895751953,48404.76819515228,0.03341677188873291,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
40,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.11585228443145752,48553.378302621844,0.03399183750152588,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
41,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.11867794990539551,49261.02822868824,0.03459033966064453,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
42,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.12150361537933349,50662.254977464676,0.035170578956604005,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
43,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.12432928085327148,53492.831069111824,0.03575279712677002,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
44,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.12715494632720947,53634.18434917927,0.03633246421813965,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
45,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.12998061180114745,54338.848682785036,0.03691282272338867,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
46,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.13280627727508545,55715.16733734608,0.03748772144317627,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
47,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.13563194274902343,58085.72183418274,0.038069629669189455,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
48,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.13845760822296144,58234.3319416523,0.038642168045043945,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
49,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.14128327369689941,58941.9818677187,0.03922600746154785,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
50,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.1441089391708374,60343.20861649513,0.039810347557067874,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
51,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.1469346046447754,63173.78470814228,0.04038348197937012,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
52,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.14976027011871337,63315.137988209724,0.04098291397094726,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
53,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.15258593559265138,64019.80232181549,0.04155466556549072,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
54,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.15541160106658936,65396.12097637654,0.04213860034942627,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
55,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.15823726654052733,67766.6754732132,0.04270846843719482,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
56,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.16106293201446534,67915.28558068276,0.0432894229888916,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
57,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.16388859748840331,68622.93550674916,0.04386372566223144,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
58,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.16671426296234132,70024.16225552559,0.044449687004089355,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
59,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.1695399284362793,72854.73834717274,0.04502549171447754,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
60,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.17236559391021727,72996.09162724018,0.04560666084289551,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
61,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.17519125938415528,73700.75596084594,0.046187543869018556,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
62,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.17801692485809326,75077.074615407,0.0467726469039917,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
63,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.18084259033203126,77447.62911224365,0.047349190711975096,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
