,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,1,1,weighted,0.8461538461538461,0.8636363636363636,0.7,0.9047619047619048,0.7619047619047619,0.9047619047619048,0.8095238095238095,0.7619047619047619,0.9523809523809523,0.95,0.85,0.08133650790527537,0.004576754570007324,0.27812585830688474,0.0008331775665283203,LFDA+kNN,sonar
1,,1,1,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.009153509140014648,0.326367449760437,0.001858353614807129,LFDA+kNN,sonar
2,,1,2,weighted,0.8365384615384616,0.9090909090909091,0.65,0.9047619047619048,0.7619047619047619,0.8571428571428571,0.8095238095238095,0.7142857142857143,0.9523809523809523,0.95,0.85,0.0963615092743538,0.013730263710021973,0.34629998207092283,0.0028714895248413085,LFDA+kNN,sonar
3,,1,2,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.018307018280029296,0.36780557632446287,0.003653883934020996,LFDA+kNN,sonar
4,,1,3,weighted,0.8221153846153846,0.8181818181818182,0.7,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8095238095238095,0.7619047619047619,0.9047619047619048,0.95,0.9,0.0863590495586748,0.02288377285003662,0.37945754528045655,0.004405403137207031,LFDA+kNN,sonar
5,,1,3,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.027460527420043946,0.39088594913482666,0.005154252052307129,LFDA+kNN,sonar
6,,1,4,weighted,0.8076923076923077,0.8181818181818182,0.65,0.9047619047619048,0.6666666666666666,0.8571428571428571,0.8095238095238095,0.7619047619047619,0.8095238095238095,0.95,0.85,0.08993194966499825,0.03203728199005127,0.40986318588256837,0.005908799171447754,LFDA+kNN,sonar
7,,1,4,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.03661403656005859,0.5889678001403809,0.006666135787963867,LFDA+kNN,sonar
8,,1,5,weighted,0.8221153846153846,0.8636363636363636,0.75,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.7142857142857143,0.9047619047619048,0.95,0.8,0.07810290466395493,0.04119079113006592,0.6559720516204834,0.007414579391479492,LFDA+kNN,sonar
9,,1,5,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.04576754570007324,0.6742660760879516,0.008189249038696288,LFDA+kNN,sonar
10,,1,6,weighted,0.8365384615384616,0.8181818181818182,0.75,0.9047619047619048,0.7619047619047619,0.9047619047619048,0.8095238095238095,0.7142857142857143,0.8571428571428571,0.95,0.9,0.07463458327726075,0.050344300270080564,0.6887573719024658,0.008929443359375,LFDA+kNN,sonar
11,,1,6,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.05492105484008789,0.7064646720886231,0.009678912162780762,LFDA+kNN,sonar
12,,1,7,weighted,0.8125,0.8181818181818182,0.65,0.9047619047619048,0.7619047619047619,0.8571428571428571,0.7142857142857143,0.7619047619047619,0.9047619047619048,0.95,0.8,0.08904151572102766,0.05949780941009521,0.7170742750167847,0.010421371459960938,LFDA+kNN,sonar
13,,1,7,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.06407456398010254,0.7333694934844971,0.011165428161621093,LFDA+kNN,sonar
14,,1,8,weighted,0.8317307692307693,0.8636363636363636,0.75,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.8571428571428571,0.95,0.85,0.0544663284047366,0.06865131855010986,0.7600939273834229,0.011909914016723634,LFDA+kNN,sonar
15,,1,8,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.07322807312011718,0.7773812532424926,0.012651276588439942,LFDA+kNN,sonar
16,,1,9,weighted,0.8125,0.8636363636363636,0.65,0.9047619047619048,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.8571428571428571,0.95,0.85,0.08896538102547444,0.0778048276901245,0.8382020711898803,0.013390803337097168,LFDA+kNN,sonar
17,,1,9,orthonormalized,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.08238158226013184,0.9707191944122314,0.014133238792419433,LFDA+kNN,sonar
