,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,0.01,50,40,1,0.8632478632478633,0.8333333333333334,0.9117647058823529,0.8333333333333334,0.9444444444444444,0.8055555555555556,0.9444444444444444,0.8571428571428571,0.7352941176470589,0.8823529411764706,0.8823529411764706,0.06147897946514206,0.005877780914306641,0.3171133756637573,0.0008397579193115234,stand+ITML+kNN,ionosphere
1,,0.01,50,80,1,0.8148148148148148,0.75,0.8235294117647058,0.75,0.9166666666666666,0.8055555555555556,0.8611111111111112,0.8285714285714286,0.7058823529411765,0.8529411764705882,0.8529411764705882,0.06003617223342933,0.011755561828613282,0.6039534330368042,0.0015647411346435547,stand+ITML+kNN,ionosphere
2,,0.01,50,160,1,0.8376068376068376,0.8055555555555556,0.8529411764705882,0.7777777777777778,0.9166666666666666,0.8055555555555556,0.9166666666666666,0.8285714285714286,0.7647058823529411,0.8823529411764706,0.8235294117647058,0.050957248588464794,0.017633342742919923,1.0774821281433105,0.002288818359375,stand+ITML+kNN,ionosphere
3,,0.01,50,320,1,0.8518518518518519,0.8055555555555556,0.9117647058823529,0.7777777777777778,0.8888888888888888,0.8055555555555556,0.9166666666666666,0.8571428571428571,0.8235294117647058,0.8823529411764706,0.8529411764705882,0.04549311597455614,0.023511123657226563,1.8983126640319825,0.0030033111572265623,stand+ITML+kNN,ionosphere
4,,0.01,250,40,1,0.8717948717948718,0.8333333333333334,0.8823529411764706,0.8333333333333334,0.9444444444444444,0.8055555555555556,0.9444444444444444,0.8285714285714286,0.8235294117647058,0.8823529411764706,0.9411764705882353,0.052092791303865876,0.029388904571533203,2.016351413726807,0.003709840774536133,stand+ITML+kNN,ionosphere
5,,0.01,250,80,1,0.8433048433048433,0.8055555555555556,0.8529411764705882,0.7777777777777778,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.7714285714285715,0.7941176470588235,0.8823529411764706,0.8823529411764706,0.052259060223350064,0.035266685485839847,2.2996650457382204,0.004416942596435547,stand+ITML+kNN,ionosphere
6,,0.01,250,160,1,0.8575498575498576,0.8055555555555556,0.8823529411764706,0.75,0.9166666666666666,0.8611111111111112,0.9444444444444444,0.8571428571428571,0.7647058823529411,0.8823529411764706,0.9117647058823529,0.06174001735333707,0.04114446640014648,2.775151991844177,0.005128598213195801,stand+ITML+kNN,ionosphere
7,,0.01,250,320,1,0.8461538461538461,0.8055555555555556,0.9117647058823529,0.8333333333333334,0.8888888888888888,0.8055555555555556,0.9166666666666666,0.8571428571428571,0.7647058823529411,0.8823529411764706,0.7941176470588235,0.05033526867617322,0.047022247314453126,3.5786837339401245,0.0058362483978271484,stand+ITML+kNN,ionosphere
8,,0.01,500,40,1,0.8547008547008547,0.7777777777777778,0.8529411764705882,0.8055555555555556,0.9444444444444444,0.8055555555555556,0.9444444444444444,0.8571428571428571,0.7941176470588235,0.8823529411764706,0.8823529411764706,0.05662521932663043,0.05290002822875976,3.704774761199951,0.006549954414367676,stand+ITML+kNN,ionosphere
9,,0.01,500,80,1,0.8490028490028491,0.7777777777777778,0.8823529411764706,0.7777777777777778,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.7714285714285715,0.7941176470588235,0.8823529411764706,0.8823529411764706,0.05767194247129602,0.058777809143066406,4.011467409133911,0.00726318359375,stand+ITML+kNN,ionosphere
