,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
13,Cascading:Unable to make 500 chunks of 3 examples each,1,0.0,3,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06085653305053711,0.34186153411865233,0.013526582717895507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
14,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.0,3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06520342826843262,0.35837664604187014,0.013526582717895507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
15,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.8464,5,10,0.7619047619047619,0.85,0.8888888888888888,0.8095238095238095,0.8888888888888888,0.9365079365079365,0.873015873015873,0.873015873015873,0.746031746031746,0.8360655737704918,0.05642668160861468,0.06955032348632813,0.361811900138855,0.015025949478149414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
16,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.7712,5,50,0.7777777777777778,0.6666666666666666,0.7936507936507936,0.8095238095238095,0.746031746031746,0.8412698412698413,0.7619047619047619,0.746031746031746,0.746031746031746,0.819672131147541,0.04710425609237907,0.07389721870422364,0.37640573978424074,0.01650714874267578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
17,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.7696,5,100,0.7777777777777778,0.7,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8412698412698413,0.7777777777777778,0.8095238095238095,0.746031746031746,0.7540983606557377,0.035609483890889464,0.07824411392211914,0.39912006855010984,0.017990469932556152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
18,Cascading:Unable to make 500 chunks of 5 examples each,1,0.0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08259100914001465,0.4106876850128174,0.017990469932556152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
19,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08693790435791016,0.42115919589996337,0.017990469932556152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
20,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.824,7,10,0.7619047619047619,0.8833333333333333,0.7936507936507936,0.7619047619047619,0.8888888888888888,0.873015873015873,0.7777777777777778,0.8095238095238095,0.8888888888888888,0.8032786885245902,0.05074623571911235,0.09128479957580567,0.4249769449234009,0.019468975067138673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
21,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.76,7,50,0.7936507936507936,0.7,0.7936507936507936,0.8095238095238095,0.7619047619047619,0.8412698412698413,0.7777777777777778,0.7301587301587301,0.7142857142857143,0.6721311475409836,0.050931196952683486,0.09563169479370118,0.4366191625595093,0.020948290824890137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
22,Cascading:Unable to make 100 chunks of 7 examples each,1,0.0,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997859001159667,0.4462725162506104,0.020948290824890137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
23,Cascading:Unable to make 500 chunks of 7 examples each,1,0.0,7,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10432548522949218,0.45510756969451904,0.020948290824890137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
24,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.0,7,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1086723804473877,0.4638067245483398,0.020948290824890137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
25,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.7904,10,10,0.8412698412698413,0.7666666666666667,0.8095238095238095,0.8412698412698413,0.7619047619047619,0.8571428571428571,0.746031746031746,0.746031746031746,0.7619047619047619,0.7704918032786885,0.0406400646724259,0.1130192756652832,0.4673184871673584,0.022426414489746093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
26,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.7712,10,50,0.7619047619047619,0.6666666666666666,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.8412698412698413,0.7777777777777778,0.8095238095238095,0.7619047619047619,0.7540983606557377,0.04294753763589011,0.11736617088317872,0.47947282791137696,0.023827171325683592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
27,Cascading:Unable to make 100 chunks of 10 examples each,1,0.0,10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12171306610107421,0.48644959926605225,0.023827171325683592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
28,Cascading:Unable to make 500 chunks of 10 examples each,1,0.0,10,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12605996131896974,0.4947901964187622,0.023827171325683592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
29,Cascading:Unable to make 1000 chunks of 10 examples each,1,0.0,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13040685653686523,0.5017595529556275,0.023827171325683592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
30,Cascading:Unable to make 1000 chunks of 10 examples each,1,0.7872,16,10,0.7936507936507936,0.6833333333333333,0.7777777777777778,0.7936507936507936,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.8095238095238095,0.746031746031746,0.9344262295081968,0.059665116380851695,0.13475375175476073,0.5054926872253418,0.024471306800842287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
31,Cascading:Unable to make 50 chunks of 16 examples each,1,0.0,16,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13910064697265626,0.5128351449966431,0.024471306800842287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
32,Cascading:Unable to make 100 chunks of 16 examples each,1,0.0,16,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14344754219055175,0.5184805870056153,0.024471306800842287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
33,Cascading:Unable to make 500 chunks of 16 examples each,1,0.0,16,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14779443740844728,0.524123740196228,0.024471306800842287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
