,cmaes__knn_weights,cmaes__metric,cmaes__n_gen,cmaes__n_neighbors,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,uniform,diagonal,100,1,,1,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.039999999999999994,0.003410196304321289,39.906655716896054,0.0013831138610839843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
1,uniform,diagonal,100,4,,1,0.94,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.04666666666666665,0.006820392608642578,79.83083636760712,0.0025466203689575194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
2,uniform,diagonal,100,8,,1,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.8,0.059628479399994376,0.010230588912963866,120.02117133140564,0.0037105321884155274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
3,uniform,diagonal,100,16,,1,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.039999999999999994,0.013640785217285156,160.72304785251617,0.004863238334655762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
4,uniform,diagonal,250,1,,1,0.9466666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.026666666666666658,0.017050981521606445,260.410564661026,0.006018495559692383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
5,uniform,diagonal,250,4,,1,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.020461177825927733,360.7078510046005,0.007175445556640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
6,uniform,diagonal,250,8,,1,0.9666666666666667,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,0.04472135954999579,0.023871374130249024,461.5693447113037,0.008328390121459962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
7,uniform,diagonal,250,16,,1,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.027281570434570312,563.1820659160614,0.009482908248901366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
8,uniform,diagonal,1000,1,,1,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.03265986323710904,0.030691766738891603,960.1181181907654,0.010641121864318847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
9,uniform,diagonal,1000,4,,1,0.94,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,0.8,0.06289320754704401,0.03410196304321289,1359.5401186227798,0.01179509162902832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,iris
