,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,1,1,weighted,0.9533333333333334,1.0,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,0.052068331172711015,0.0012784004211425781,0.0019545555114746094,0.0005505084991455078,stand+LFDA+kNN,iris
1,,1,1,orthonormalized,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.026666666666666658,0.0012784004211425781,0.002071380615234375,0.0005564689636230469,stand+LFDA+kNN,iris
2,,1,2,weighted,0.96,1.0,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.04422166387140532,0.0012784004211425781,0.0016341209411621094,0.000545501708984375,stand+LFDA+kNN,iris
3,,1,2,orthonormalized,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.026666666666666658,0.0012784004211425781,0.001821756362915039,0.0005471706390380859,stand+LFDA+kNN,iris
4,,1,3,weighted,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.033333333333333326,0.0012784004211425781,0.001710653305053711,0.0005495548248291016,stand+LFDA+kNN,iris
5,,1,3,orthonormalized,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.026666666666666658,0.0012784004211425781,0.0018639564514160156,0.0005388259887695312,stand+LFDA+kNN,iris
6,,2,1,weighted,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,1.0,0.8666666666666667,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,0.052068331172711015,0.0012784004211425781,0.0019545555114746094,0.0012242794036865234,stand+LFDA+kNN,iris
7,,2,1,orthonormalized,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.0012784004211425781,0.002071380615234375,0.001199960708618164,stand+LFDA+kNN,iris
8,,2,2,weighted,0.9533333333333334,1.0,0.9333333333333333,1.0,1.0,0.8666666666666667,1.0,1.0,0.8666666666666667,1.0,0.8666666666666667,0.059999999999999984,0.0012784004211425781,0.0016341209411621094,0.001199483871459961,stand+LFDA+kNN,iris
9,,2,2,orthonormalized,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.0012784004211425781,0.001821756362915039,0.0012178421020507812,stand+LFDA+kNN,iris
10,,2,3,weighted,0.96,0.9333333333333333,0.9333333333333333,1.0,1.0,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.04422166387140532,0.0012784004211425781,0.001710653305053711,0.0012235641479492188,stand+LFDA+kNN,iris
11,,2,3,orthonormalized,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.0012784004211425781,0.0018639564514160156,0.0012040138244628906,stand+LFDA+kNN,iris
12,,4,1,weighted,0.9733333333333334,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,0.9333333333333333,0.03265986323710903,0.0012784004211425781,0.0019545555114746094,0.001191854476928711,stand+LFDA+kNN,iris
13,,4,1,orthonormalized,0.94,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.046666666666666655,0.0012784004211425781,0.002071380615234375,0.001186370849609375,stand+LFDA+kNN,iris
14,,4,2,weighted,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,0.04268749491621898,0.0012784004211425781,0.0016341209411621094,0.0012106895446777344,stand+LFDA+kNN,iris
15,,4,2,orthonormalized,0.94,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.046666666666666655,0.0012784004211425781,0.001821756362915039,0.0012080669403076172,stand+LFDA+kNN,iris
16,,4,3,weighted,0.98,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.030550504633038926,0.0012784004211425781,0.001710653305053711,0.001192331314086914,stand+LFDA+kNN,iris
17,,4,3,orthonormalized,0.94,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.046666666666666655,0.0012784004211425781,0.0018639564514160156,0.0011973381042480469,stand+LFDA+kNN,iris
18,,8,1,weighted,0.9666666666666667,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,0.8666666666666667,0.04472135954999579,0.0012784004211425781,0.0019545555114746094,0.0011882781982421875,stand+LFDA+kNN,iris
