,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,1,50,40,0.6901041666666666,0.7142857142857143,0.6447368421052632,0.7272727272727273,0.6493506493506493,0.7272727272727273,0.6623376623376623,0.6753246753246753,0.7532467532467533,0.7272727272727273,0.618421052631579,0.04308472162249154,0.0051278829574584964,0.5793882846832276,0.001841115951538086,LSML+kNN,pima-indians-diabetes
1,,1,50,80,0.69921875,0.7142857142857143,0.6710526315789473,0.7272727272727273,0.6493506493506493,0.7272727272727273,0.6623376623376623,0.6753246753246753,0.7662337662337663,0.7402597402597403,0.6578947368421053,0.03859447073891117,0.010255765914916993,1.421625304222107,0.003545546531677246,LSML+kNN,pima-indians-diabetes
2,,1,50,160,0.6966145833333334,0.7142857142857143,0.6710526315789473,0.7142857142857143,0.6493506493506493,0.7272727272727273,0.6623376623376623,0.6753246753246753,0.7532467532467533,0.7402597402597403,0.6578947368421053,0.0356246811462524,0.015383648872375488,2.375079369544983,0.005251502990722657,LSML+kNN,pima-indians-diabetes
3,,1,50,320,0.6979166666666666,0.7142857142857143,0.6710526315789473,0.7272727272727273,0.6493506493506493,0.7272727272727273,0.6623376623376623,0.6753246753246753,0.7532467532467533,0.7402597402597403,0.6578947368421053,0.03647483258851513,0.020511531829833986,3.4769444704055785,0.006935024261474609,LSML+kNN,pima-indians-diabetes
4,,1,250,40,0.6901041666666666,0.7272727272727273,0.6710526315789473,0.7142857142857143,0.6623376623376623,0.6753246753246753,0.6623376623376623,0.7012987012987013,0.7402597402597403,0.7142857142857143,0.631578947368421,0.032772468971950734,0.02563941478729248,4.914017176628112,0.00861668586730957,LSML+kNN,pima-indians-diabetes
5,,1,250,80,0.6940104166666666,0.7142857142857143,0.6710526315789473,0.7012987012987013,0.6623376623376623,0.7272727272727273,0.6623376623376623,0.7012987012987013,0.7272727272727273,0.7272727272727273,0.6447368421052632,0.0296608387982584,0.030767297744750975,6.6400665760040285,0.01029641628265381,LSML+kNN,pima-indians-diabetes
6,,1,250,160,0.6953125,0.7402597402597403,0.6447368421052632,0.7012987012987013,0.6623376623376623,0.7142857142857143,0.6493506493506493,0.7012987012987013,0.7792207792207793,0.7142857142857143,0.6447368421052632,0.04262386898182988,0.03589518070220947,8.821746921539306,0.011983466148376466,LSML+kNN,pima-indians-diabetes
7,,1,250,320,0.69921875,0.7272727272727273,0.6710526315789473,0.6883116883116883,0.6753246753246753,0.7402597402597403,0.6623376623376623,0.6753246753246753,0.7792207792207793,0.7142857142857143,0.6578947368421053,0.03771031913265562,0.04102306365966797,11.696915531158448,0.013651251792907715,LSML+kNN,pima-indians-diabetes
8,,1,500,40,0.6901041666666666,0.7272727272727273,0.6578947368421053,0.6883116883116883,0.6493506493506493,0.7402597402597403,0.6623376623376623,0.7012987012987013,0.7402597402597403,0.6753246753246753,0.6578947368421053,0.033565282145652436,0.046150946617126466,14.163496518135071,0.015376067161560059,LSML+kNN,pima-indians-diabetes
9,,1,500,80,0.6927083333333334,0.7142857142857143,0.6578947368421053,0.6883116883116883,0.6493506493506493,0.6883116883116883,0.6753246753246753,0.7142857142857143,0.7662337662337663,0.7272727272727273,0.6447368421052632,0.03642214920999191,0.05127882957458496,17.080382418632507,0.017047476768493653,LSML+kNN,pima-indians-diabetes
10,,1,500,160,0.6940104166666666,0.7272727272727273,0.6973684210526315,0.6883116883116883,0.6623376623376623,0.7012987012987013,0.6493506493506493,0.7012987012987013,0.7532467532467533,0.7402597402597403,0.618421052631579,0.039516625408114035,0.056406712532043456,20.631176376342772,0.018729615211486816,LSML+kNN,pima-indians-diabetes
11,,1,500,320,0.68359375,0.7272727272727273,0.6578947368421053,0.6753246753246753,0.6493506493506493,0.7142857142857143,0.6493506493506493,0.6883116883116883,0.7402597402597403,0.7012987012987013,0.631578947368421,0.03489418720848263,0.06153459548950195,25.968219017982484,0.020416760444641115,LSML+kNN,pima-indians-diabetes
12,,1,1000,40,0.6953125,0.7402597402597403,0.6578947368421053,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.6883116883116883,0.7012987012987013,0.7142857142857143,0.7142857142857143,0.631578947368421,0.028973180836979192,0.06666247844696045,30.13493709564209,0.022081971168518066,LSML+kNN,pima-indians-diabetes
13,,1,1000,80,0.703125,0.7402597402597403,0.6973684210526315,0.6883116883116883,0.7012987012987013,0.7272727272727273,0.6623376623376623,0.7012987012987013,0.7532467532467533,0.7142857142857143,0.6447368421052632,0.03151318929539522,0.07179036140441894,35.23486387729645,0.02363901138305664,LSML+kNN,pima-indians-diabetes
14,,1,1000,160,0.6861979166666666,0.7402597402597403,0.6710526315789473,0.6883116883116883,0.6363636363636364,0.6753246753246753,0.6363636363636364,0.7012987012987013,0.7662337662337663,0.7012987012987013,0.6447368421052632,0.04101516560202878,0.07691824436187744,41.81091809272766,0.024359965324401857,LSML+kNN,pima-indians-diabetes
15,,1,1000,320,0.6927083333333334,0.7532467532467533,0.6710526315789473,0.6753246753246753,0.6363636363636364,0.7142857142857143,0.6753246753246753,0.6883116883116883,0.7792207792207793,0.7272727272727273,0.6052631578947368,0.049722681080908916,0.08204612731933594,51.262589406967166,0.02507803440093994,LSML+kNN,pima-indians-diabetes
16,,2,50,40,0.7005208333333334,0.7142857142857143,0.6578947368421053,0.6883116883116883,0.6753246753246753,0.7142857142857143,0.7142857142857143,0.7402597402597403,0.7142857142857143,0.7402597402597403,0.6447368421052632,0.031030361383561866,0.08717401027679443,51.84197769165039,0.02579836845397949,LSML+kNN,pima-indians-diabetes
17,,2,50,80,0.7005208333333334,0.7142857142857143,0.6578947368421053,0.6883116883116883,0.6883116883116883,0.7142857142857143,0.7142857142857143,0.7402597402597403,0.7142857142857143,0.7532467532467533,0.618421052631579,0.03737955765127795,0.09230189323425293,52.68421471118927,0.026518583297729492,LSML+kNN,pima-indians-diabetes
18,,2,50,160,0.6966145833333334,0.7142857142857143,0.6578947368421053,0.6883116883116883,0.6753246753246753,0.7012987012987013,0.7142857142857143,0.7402597402597403,0.7142857142857143,0.7402597402597403,0.618421052631579,0.03592209553894997,0.09742977619171142,53.63766877651214,0.027239346504211427,LSML+kNN,pima-indians-diabetes
19,,2,50,320,0.69921875,0.7142857142857143,0.6578947368421053,0.6883116883116883,0.6883116883116883,0.7012987012987013,0.7142857142857143,0.7402597402597403,0.7142857142857143,0.7532467532467533,0.618421052631579,0.03709767225385951,0.10255765914916992,54.73953387737274,0.02796168327331543,LSML+kNN,pima-indians-diabetes
20,,2,250,40,0.6953125,0.7142857142857143,0.6578947368421053,0.6753246753246753,0.6623376623376623,0.7272727272727273,0.7142857142857143,0.7402597402597403,0.7012987012987013,0.7402597402597403,0.618421052631579,0.038231899790218855,0.10768554210662842,56.17660658359527,0.028680419921875,LSML+kNN,pima-indians-diabetes
21,,2,250,80,0.703125,0.7272727272727273,0.6578947368421053,0.6753246753246753,0.6753246753246753,0.7402597402597403,0.7272727272727273,0.7402597402597403,0.6883116883116883,0.7662337662337663,0.631578947368421,0.0410322487421568,0.11281342506408691,57.90265598297119,0.02939598560333252,LSML+kNN,pima-indians-diabetes
22,,2,250,160,0.69921875,0.7142857142857143,0.6710526315789473,0.6753246753246753,0.6623376623376623,0.7012987012987013,0.7142857142857143,0.7532467532467533,0.7012987012987013,0.7662337662337663,0.631578947368421,0.03895147815322346,0.11794130802154541,60.08433632850647,0.03012101650238037,LSML+kNN,pima-indians-diabetes
23,,2,250,320,0.7005208333333334,0.7142857142857143,0.6578947368421053,0.6883116883116883,0.6883116883116883,0.7272727272727273,0.7142857142857143,0.7272727272727273,0.7142857142857143,0.7532467532467533,0.618421052631579,0.036925585018253174,0.1230691909790039,62.95950493812561,0.030837321281433107,LSML+kNN,pima-indians-diabetes
