,error,knn__n_neighbors,lmnn__k,lmnn__learn_rate,lmnn__max_iter,lmnn__regularization,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,1,1,1e-07,50,0.1,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.00523829460144043,1.3612587451934814,0.0008072376251220704,stand+LMNN+kNN,sonar
1,,1,1,1e-07,50,0.5,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.01047658920288086,2.494392251968384,0.0015311479568481446,stand+LMNN+kNN,sonar
2,,1,1,1e-07,50,0.9,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.01571488380432129,3.609653043746948,0.002249884605407715,stand+LMNN+kNN,sonar
3,,1,1,1e-07,250,0.1,0.8605769230769231,0.9545454545454546,0.8,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.8571428571428571,0.8095238095238095,0.85,1.0,0.09712186817492315,0.02095317840576172,8.582073521614074,0.002971386909484863,stand+LMNN+kNN,sonar
4,,1,1,1e-07,250,0.5,0.8653846153846154,0.9545454545454546,0.8,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.85,1.0,0.09566443582924868,0.02619147300720215,13.50751051902771,0.0036882638931274416,stand+LMNN+kNN,sonar
5,,1,1,1e-07,250,0.9,0.8605769230769231,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.85,1.0,0.10014414004170659,0.03142976760864258,18.372341132164003,0.004405784606933594,stand+LMNN+kNN,sonar
6,,1,1,1e-07,500,0.1,0.8798076923076923,0.9545454545454546,0.75,0.8095238095238095,0.8095238095238095,1.0,0.7142857142857143,0.9047619047619048,0.9047619047619048,0.95,1.0,0.09735382136110883,0.03666806221008301,27.680180883407594,0.005118322372436523,stand+LMNN+kNN,sonar
7,,1,1,1e-07,500,0.5,0.8653846153846154,0.9090909090909091,0.7,0.8095238095238095,0.9047619047619048,1.0,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.85,0.95,0.07918516929655958,0.04190635681152344,36.83339693546295,0.005829644203186035,stand+LMNN+kNN,sonar
8,,1,1,1e-07,500,0.9,0.8798076923076923,0.9090909090909091,0.85,0.8095238095238095,0.9047619047619048,1.0,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.85,1.0,0.07212329084483433,0.04714465141296387,46.213425803184506,0.006541824340820313,stand+LMNN+kNN,sonar
9,,1,1,1e-07,1000,0.1,0.8701923076923077,0.9090909090909091,0.8,0.8571428571428571,0.8571428571428571,0.9523809523809523,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.9,0.95,0.057323769927290505,0.0523829460144043,65.42138557434082,0.007236671447753906,stand+LMNN+kNN,sonar
10,,1,1,1e-07,1000,0.5,0.8413461538461539,0.8636363636363636,0.85,0.8095238095238095,0.8095238095238095,0.9523809523809523,0.7142857142857143,0.8095238095238095,0.8571428571428571,0.85,0.9,0.05987224268745662,0.05762124061584473,86.08363964557648,0.007909035682678223,stand+LMNN+kNN,sonar
11,,1,1,1e-07,1000,0.9,0.8461538461538461,0.8636363636363636,0.75,0.9523809523809523,0.7619047619047619,0.9523809523809523,0.6666666666666666,0.7619047619047619,0.8571428571428571,0.95,0.95,0.10010887094678765,0.06285953521728516,106.13134157657623,0.008581399917602539,stand+LMNN+kNN,sonar
12,,1,2,1e-07,50,0.1,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.06809782981872559,107.30487148761749,0.0092543363571167,stand+LMNN+kNN,sonar
13,,1,2,1e-07,50,0.5,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.07333612442016602,108.55876064300537,0.009926724433898925,stand+LMNN+kNN,sonar
14,,1,2,1e-07,50,0.9,0.8701923076923077,0.9545454545454546,0.8,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.09632691499563273,0.07857441902160645,109.77479135990143,0.010602903366088868,stand+LMNN+kNN,sonar
15,,1,2,1e-07,250,0.1,0.875,0.9545454545454546,0.8,0.8095238095238095,0.8571428571428571,1.0,0.7619047619047619,0.8571428571428571,0.8095238095238095,0.9,1.0,0.0811357046399312,0.08381271362304688,115.76436576843261,0.01127774715423584,stand+LMNN+kNN,sonar
16,,1,2,1e-07,250,0.5,0.8701923076923077,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.9,1.0,0.09200443247833091,0.0890510082244873,121.8617019891739,0.011948561668395996,stand+LMNN+kNN,sonar
17,,1,2,1e-07,250,0.9,0.8605769230769231,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.85,1.0,0.10014414004170659,0.09428930282592773,128.09793605804444,0.012623810768127441,stand+LMNN+kNN,sonar
