,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,1,1,weighted,0.8317307692307693,0.8181818181818182,0.65,0.9047619047619048,0.6666666666666666,0.9047619047619048,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.95,0.85,0.09587310193398293,0.0036745071411132812,0.2669463872909546,0.0008881330490112304,stand+LFDA+kNN,sonar
1,,1,1,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.0073490142822265625,0.3082592010498047,0.0016970872879028321,stand+LFDA+kNN,sonar
2,,1,2,weighted,0.8221153846153846,0.8636363636363636,0.65,0.9047619047619048,0.7142857142857143,0.9047619047619048,0.7619047619047619,0.6666666666666666,1.0,0.95,0.8,0.11528630265232408,0.011023521423339844,0.32295167446136475,0.0024396896362304686,stand+LFDA+kNN,sonar
3,,1,2,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.014698028564453125,0.3376469612121582,0.003269481658935547,stand+LFDA+kNN,sonar
4,,1,3,weighted,0.8173076923076923,0.8636363636363636,0.65,0.9047619047619048,0.6666666666666666,0.9047619047619048,0.8095238095238095,0.7142857142857143,0.8571428571428571,0.95,0.85,0.0995308351990132,0.018372535705566406,0.35228853225708007,0.0041064262390136715,stand+LFDA+kNN,sonar
5,,1,3,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.022047042846679688,0.37332863807678224,0.004945683479309082,stand+LFDA+kNN,sonar
6,,1,4,weighted,0.8076923076923077,0.8636363636363636,0.7,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8095238095238095,0.7619047619047619,0.8095238095238095,0.95,0.8,0.07868925193186026,0.02572154998779297,0.44461884498596194,0.005784749984741211,stand+LFDA+kNN,sonar
7,,1,4,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.02939605712890625,0.5014410495758057,0.006620049476623535,stand+LFDA+kNN,sonar
8,,1,5,weighted,0.8173076923076923,0.8636363636363636,0.65,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.8095238095238095,0.7142857142857143,0.8571428571428571,0.95,0.85,0.08204744956919717,0.03307056427001953,0.528057861328125,0.0074577808380126955,stand+LFDA+kNN,sonar
9,,1,5,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.03674507141113281,0.5599169969558716,0.008298730850219727,stand+LFDA+kNN,sonar
10,,1,6,weighted,0.8125,0.8181818181818182,0.75,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.7142857142857143,0.7619047619047619,0.8095238095238095,0.95,0.85,0.0655813044852374,0.040419578552246094,0.5853523969650268,0.009131836891174316,stand+LFDA+kNN,sonar
11,,1,6,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.044094085693359375,0.6034785747528076,0.009969258308410644,stand+LFDA+kNN,sonar
12,,1,7,weighted,0.8125,0.8636363636363636,0.75,0.8571428571428571,0.6666666666666666,0.8095238095238095,0.8571428571428571,0.7619047619047619,0.8095238095238095,0.95,0.8,0.07308527378381123,0.047768592834472656,0.6251075506210327,0.01080307960510254,stand+LFDA+kNN,sonar
13,,1,7,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.05144309997558594,0.7076300382614136,0.011632204055786133,stand+LFDA+kNN,sonar
14,,1,8,weighted,0.8028846153846154,0.8181818181818182,0.7,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.7619047619047619,0.7142857142857143,0.8571428571428571,0.9,0.8,0.06348162711026184,0.05511760711669922,0.8442271232604981,0.012478089332580567,stand+LFDA+kNN,sonar
15,,1,8,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.0587921142578125,0.8723216533660889,0.013314628601074218,stand+LFDA+kNN,sonar
16,,1,9,weighted,0.8221153846153846,0.8636363636363636,0.8,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.7619047619047619,0.7142857142857143,0.8571428571428571,0.95,0.8,0.06450960545709031,0.06246662139892578,0.8938614845275878,0.014149761199951172,stand+LFDA+kNN,sonar
17,,1,9,orthonormalized,0.8653846153846154,0.9545454545454546,0.75,0.8095238095238095,0.8571428571428571,1.0,0.6666666666666666,0.9047619047619048,0.8571428571428571,0.85,1.0,0.10101315806546889,0.06614112854003906,0.9139439582824707,0.01497194766998291,stand+LFDA+kNN,sonar
