,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.949438202247191,0.9473684210526315,1.0,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.02995606271610931,0.003310227394104004,0.0005057334899902343,0.0012446880340576173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+kNN,wine
1,,2,0.9325842696629213,0.9473684210526315,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,0.9411764705882353,0.04844415671583812,0.006620454788208008,0.0010114669799804687,0.0024305105209350584,0.9719101123595506,0.9748427672955975,0.9691358024691358,0.975,0.96875,0.98125,0.96875,0.96875,0.975,0.96875,0.968944099378882,0.004139656197853667,stand+kNN,wine
2,,4,0.9550561797752809,0.9473684210526315,1.0,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0,0.9411764705882353,0.04160626450366912,0.009930682182312012,0.0015172004699707032,0.003614473342895508,0.9656679151061174,0.9559748427672956,0.9691358024691358,0.9625,0.9625,0.975,0.96875,0.96875,0.9625,0.95625,0.9751552795031055,0.0064875249471875555,stand+kNN,wine
3,,8,0.9550561797752809,0.9473684210526315,1.0,1.0,0.8888888888888888,0.8333333333333334,0.9444444444444444,1.0,1.0,1.0,0.9411764705882353,0.05445777398300305,0.013240909576416016,0.0020229339599609373,0.004800772666931153,0.9775280898876404,0.9874213836477987,0.9753086419753086,0.975,0.98125,0.975,0.975,0.975,0.975,0.975,0.9813664596273292,0.00411990179890343,stand+kNN,wine
4,,16,0.9662921348314607,0.9473684210526315,0.9375,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.9411764705882353,0.027916806070960965,0.01655113697052002,0.002528667449951172,0.0059824705123901365,0.9731585518102372,0.9874213836477987,0.9691358024691358,0.9625,0.975,0.98125,0.98125,0.9625,0.96875,0.96875,0.9751552795031055,0.00789943228821576,stand+kNN,wine
5,,32,0.9831460674157303,0.9473684210526315,1.0,1.0,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.025023500462379746,0.019861364364624025,0.0030344009399414064,0.007165646553039551,0.978776529338327,0.9874213836477987,0.9814814814814815,0.975,0.98125,0.98125,0.98125,0.975,0.975,0.975,0.9751552795031055,0.004129968590562575,stand+kNN,wine
6,,64,0.949438202247191,0.9473684210526315,1.0,1.0,0.9444444444444444,0.9444444444444444,0.7777777777777778,0.9444444444444444,0.9444444444444444,1.0,1.0,0.06307933168726478,0.023171591758728027,0.0035401344299316405,0.008346486091613769,0.9538077403245943,0.9559748427672956,0.9444444444444444,0.9625,0.95,0.95625,0.975,0.95,0.95625,0.94375,0.9440993788819876,0.009237795693474622,stand+kNN,wine
7,,128,0.4943820224719101,0.47368421052631576,0.5,0.4444444444444444,0.5,0.3888888888888889,0.4444444444444444,0.5,0.5,0.6666666666666666,0.5294117647058824,0.06897729207374226,0.026481819152832032,0.004045867919921875,0.00918128490447998,0.5287141073657927,0.5094339622641509,0.6049382716049383,0.525,0.5,0.51875,0.55,0.5,0.48125,0.55,0.546583850931677,0.03379664541873887,stand+kNN,wine
