,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
16,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8636363636363636,0.0,0.6666666666666666,0.8095238095238095,0.9047619047619048,0.6666666666666666,0.8571428571428571,0.0,0.9,0.8,0.25,10000,0.01,True,0.3330699358494414,0.0452955961227417,223.4133177280426,0.01389000415802002,SDML+kNN,sonar
17,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10000,0.01,False,0.0,0.04796004295349121,224.1603742837906,0.01389000415802002,SDML+kNN,sonar
18,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8181818181818182,0.8,0.7619047619047619,0.8095238095238095,0.9523809523809523,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.85,0.9,0.25,10000,0.05,True,0.06228025028777179,0.05062448978424072,225.10773446559907,0.015392351150512695,SDML+kNN,sonar
19,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.75,0.0,0.8571428571428571,0.0,0.0,0.8571428571428571,0.8095238095238095,0.0,0.9,0.25,10000,0.05,False,0.4189448602362456,0.053288936614990234,227.43141973018646,0.016152071952819824,SDML+kNN,sonar
20,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8636363636363636,0.85,0.7142857142857143,0.7619047619047619,0.9047619047619048,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.7,0.95,0.25,10000,0.1,True,0.0786958336793555,0.055953383445739746,228.72210335731506,0.017399907112121582,SDML+kNN,sonar
21,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9545454545454546,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10000,0.1,False,0.3439635887898938,0.05861783027648926,230.2467678785324,0.0175323486328125,SDML+kNN,sonar
22,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9545454545454546,0.8,0.7142857142857143,0.8095238095238095,0.8571428571428571,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.9,0.9,0.25,10000,0.25,True,0.07096014579456872,0.06128227710723877,231.80277144908905,0.018179941177368163,SDML+kNN,sonar
23,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.0,0.7142857142857143,0.0,0.0,0.6666666666666666,0.0,0.0,0.8,0.9,0.25,10000,0.25,False,0.41704092035638507,0.06394672393798828,233.7021048784256,0.01850712299346924,SDML+kNN,sonar
24,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.65,0.7619047619047619,0.8095238095238095,0.0,0.7142857142857143,0.7619047619047619,0.0,0.95,1.0,0.25,100000,0.01,True,0.3510622041772854,0.06661117076873779,259.546151804924,0.01902439594268799,SDML+kNN,sonar
25,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100000,0.01,False,0.0,0.0692756175994873,285.45758533477783,0.01902439594268799,SDML+kNN,sonar
26,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.65,0.7619047619047619,0.8095238095238095,0.0,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.95,1.0,0.25,100000,0.05,True,0.2723830336250823,0.07194006443023682,311.39162669181826,0.019614005088806154,SDML+kNN,sonar
27,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.0,0.0,0.25,100000,0.05,False,0.22857142857142856,0.07460451126098633,337.46823062896726,0.019679784774780273,SDML+kNN,sonar
