,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.8611111111111112,0.9444444444444444,0.8611111111111112,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.01,True,0.4079079416840139,0.004019546508789063,1.3107956409454347,0.0006971359252929688,SDML+kNN,ionosphere
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8888888888888888,0.0,0.7777777777777778,0.9444444444444444,0.8055555555555556,0.8888888888888888,0.9142857142857143,0.7647058823529411,0.9411764705882353,0.0,0.1,10000,0.01,False,0.3515710567777096,0.008039093017578125,2.4026859760284425,0.0021778106689453124,SDML+kNN,ionosphere
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9444444444444444,0.9117647058823529,0.8611111111111112,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.0,0.7941176470588235,0.9117647058823529,0.9117647058823529,0.1,10000,0.05,True,0.2728772357209411,0.012058639526367187,3.965939927101135,0.0038228750228881834,SDML+kNN,ionosphere
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8333333333333334,0.8529411764705882,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8611111111111112,0.8857142857142857,0.7941176470588235,0.9117647058823529,0.8529411764705882,0.1,10000,0.05,False,0.032363927208059064,0.01607818603515625,4.888764953613281,0.005628371238708496,SDML+kNN,ionosphere
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8888888888888888,0.8823529411764706,0.8333333333333334,0.8611111111111112,0.8333333333333334,0.9444444444444444,0.9714285714285714,0.7352941176470589,0.0,0.0,0.1,10000,0.1,True,0.35282687647836464,0.020097732543945312,6.131190848350525,0.00706171989440918,SDML+kNN,ionosphere
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8055555555555556,0.0,0.8611111111111112,0.9166666666666666,0.8055555555555556,0.8611111111111112,0.8857142857142857,0.7941176470588235,0.8823529411764706,0.0,0.1,10000,0.1,False,0.34266821354092275,0.024117279052734374,7.039810466766357,0.00848217010498047,SDML+kNN,ionosphere
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9166666666666666,0.0,0.8888888888888888,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.8571428571428571,0.0,0.9117647058823529,0.9411764705882353,0.1,10000,0.25,True,0.36199302389521637,0.028136825561523436,7.962412548065186,0.009925913810729981,SDML+kNN,ionosphere
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8055555555555556,0.8235294117647058,0.8055555555555556,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.8571428571428571,0.7941176470588235,0.9411764705882353,0.9117647058823529,0.1,10000,0.25,False,0.05292130883000419,0.0321563720703125,8.887351536750794,0.011694240570068359,SDML+kNN,ionosphere
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8888888888888888,0.8529411764705882,0.7777777777777778,0.8611111111111112,0.0,0.8888888888888888,0.8571428571428571,0.7941176470588235,0.9705882352941176,0.9411764705882353,0.1,100000,0.01,True,0.26690138870813385,0.03617591857910156,27.535091066360472,0.013262581825256348,SDML+kNN,ionosphere
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8888888888888888,0.8529411764705882,0.7777777777777778,0.9722222222222222,0.8055555555555556,0.9166666666666666,0.8571428571428571,0.7941176470588235,0.9411764705882353,0.9411764705882353,0.1,100000,0.01,False,0.06462305633450317,0.040195465087890625,46.049775624275206,0.014972734451293945,SDML+kNN,ionosphere
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8888888888888888,0.8529411764705882,0.7777777777777778,0.8611111111111112,0.0,0.8888888888888888,0.8571428571428571,0.7941176470588235,0.9705882352941176,0.9411764705882353,0.1,100000,0.05,True,0.26690138870813385,0.04421501159667969,64.81784722805023,0.016483116149902343,SDML+kNN,ionosphere
11,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8888888888888888,0.8529411764705882,0.7777777777777778,0.9722222222222222,0.8055555555555556,0.9166666666666666,0.8571428571428571,0.7941176470588235,0.9411764705882353,0.9411764705882353,0.1,100000,0.05,False,0.06462305633450317,0.04823455810546875,83.42098672389984,0.01822669506072998,SDML+kNN,ionosphere
12,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8888888888888888,0.8529411764705882,0.7777777777777778,0.8611111111111112,0.0,0.8888888888888888,0.8571428571428571,0.7941176470588235,0.9705882352941176,0.9411764705882353,0.1,100000,0.1,True,0.26690138870813385,0.052254104614257814,101.86845655441284,0.019819760322570802,SDML+kNN,ionosphere
