,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,50,40,0.9427753934191703,0.9295774647887324,0.9710144927536232,0.9142857142857143,0.9142857142857143,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9565217391304348,0.021026681696171622,0.006082344055175781,0.27571840286254884,0.0007956981658935547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
1,,1,50,80,0.949928469241774,0.9295774647887324,0.9710144927536232,0.9285714285714286,0.9428571428571428,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.016976239998337982,0.012164688110351563,0.49168972969055175,0.0015032768249511718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
2,,1,50,160,0.9427753934191703,0.9295774647887324,0.9420289855072463,0.9142857142857143,0.9285714285714286,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.016771156284680084,0.018247032165527345,0.7327945947647094,0.0022069692611694338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
3,,1,50,320,0.9484978540772532,0.9295774647887324,0.9855072463768116,0.9285714285714286,0.9428571428571428,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9565217391304348,0.019210076489574044,0.024329376220703126,0.9669225692749024,0.0029054880142211914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
4,,1,250,40,0.9470672389127325,0.9295774647887324,0.9710144927536232,0.9142857142857143,0.9428571428571428,0.9285714285714286,0.9428571428571428,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9710144927536232,0.019020088256981423,0.030411720275878906,1.1517466068267823,0.0036171436309814452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
5,,1,250,80,0.9470672389127325,0.9295774647887324,0.9710144927536232,0.9142857142857143,0.9428571428571428,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.019040863980031297,0.03649406433105469,1.3820011138916015,0.004321503639221192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
6,,1,250,160,0.9484978540772532,0.9295774647887324,0.9710144927536232,0.9142857142857143,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9710144927536232,0.021200661235221737,0.04257640838623047,1.5866024971008301,0.005021905899047852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
7,,1,250,320,0.944206008583691,0.9295774647887324,0.9710144927536232,0.9142857142857143,0.9428571428571428,0.9285714285714286,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9565217391304348,0.018386082836263234,0.04865875244140625,1.8303517341613769,0.00572657585144043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
8,,1,500,40,0.9470672389127325,0.9295774647887324,0.9855072463768116,0.9142857142857143,0.9428571428571428,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9420289855072463,0.02014333978287657,0.05474109649658203,1.9717023372650146,0.006428122520446777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
9,,1,500,80,0.9456366237482118,0.9436619718309859,0.9565217391304348,0.8857142857142857,0.9428571428571428,0.9428571428571428,0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.02187403422777206,0.06082344055175781,2.128914213180542,0.007137322425842285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
10,,1,500,160,0.9456366237482118,0.9295774647887324,0.9855072463768116,0.9,0.9428571428571428,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.9428571428571428,0.9571428571428572,0.9565217391304348,0.0218002553375406,0.0669057846069336,2.247334337234497,0.0078507661819458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
11,,1,500,320,0.9470672389127325,0.9436619718309859,0.9855072463768116,0.9142857142857143,0.9428571428571428,0.9285714285714286,0.9285714285714286,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9710144927536232,0.022082217993675497,0.07298812866210938,2.488053798675537,0.008559656143188477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,breast-cancer-wisconsin
