,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,1,0.7792,0.7777777777777778,0.6833333333333333,0.7777777777777778,0.7777777777777778,0.8253968253968254,0.7777777777777778,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.7704918032786885,0.035697798623783576,0.003470754623413086,0.00041983127593994143,0.0007252693176269531,stand+kNN,balance-scale
1,,2,0.7168,0.7936507936507936,0.6,0.746031746031746,0.7301587301587301,0.7777777777777778,0.746031746031746,0.6825396825396826,0.6825396825396826,0.7142857142857143,0.6885245901639344,0.05320075757776062,0.006941509246826172,0.0008396625518798829,0.001380014419555664,stand+kNN,balance-scale
2,,4,0.8048,0.8253968253968254,0.7666666666666667,0.8253968253968254,0.7936507936507936,0.8253968253968254,0.8253968253968254,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.8032786885245902,0.02038175489902817,0.010412263870239257,0.0012594938278198242,0.002036261558532715,stand+kNN,balance-scale
3,,8,0.896,0.9206349206349206,0.8333333333333334,0.873015873015873,0.8888888888888888,0.9047619047619048,0.9047619047619048,0.9206349206349206,0.9047619047619048,0.8888888888888888,0.9180327868852459,0.025466665046707502,0.013883018493652343,0.0016793251037597657,0.002696537971496582,stand+kNN,balance-scale
4,,16,0.8992,0.9047619047619048,0.9,0.9047619047619048,0.8888888888888888,0.873015873015873,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.9206349206349206,0.9016393442622951,0.01219848579604042,0.01735377311706543,0.002099156379699707,0.0033524036407470703,stand+kNN,balance-scale
5,,32,0.9008,0.9047619047619048,0.9,0.9047619047619048,0.8888888888888888,0.873015873015873,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9206349206349206,0.9016393442622951,0.011777454262949795,0.020824527740478514,0.0025189876556396484,0.004008936882019043,stand+kNN,balance-scale
6,,64,0.8992,0.9047619047619048,0.8833333333333333,0.9047619047619048,0.9047619047619048,0.873015873015873,0.9047619047619048,0.9047619047619048,0.8888888888888888,0.9206349206349206,0.9016393442622951,0.012898499103372773,0.024295282363891602,0.0029388189315795897,0.0046671867370605465,stand+kNN,balance-scale
7,,128,0.8896,0.9047619047619048,0.8833333333333333,0.9047619047619048,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.8852459016393442,0.013428883516111371,0.027766036987304687,0.0033586502075195314,0.0053244829177856445,stand+kNN,balance-scale
