,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,1,0.9157303370786517,0.8947368421052632,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9411764705882353,0.0366424085951831,0.002656078338623047,0.00744476318359375,0.0012619495391845703,Cov+kNN,wine
1,,2,0.8707865168539326,0.8947368421052632,1.0,0.8888888888888888,0.7777777777777778,0.7222222222222222,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.8823529411764706,0.07477842885262687,0.005312156677246094,0.0148895263671875,0.002456045150756836,Cov+kNN,wine
2,,4,0.9157303370786517,0.9473684210526315,1.0,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.9444444444444444,1.0,1.0,1.0,0.08343535357666342,0.00796823501586914,0.02233428955078125,0.0036451339721679686,Cov+kNN,wine
3,,8,0.9382022471910112,1.0,0.9375,0.8888888888888888,0.8888888888888888,0.7777777777777778,1.0,1.0,0.9444444444444444,1.0,0.9411764705882353,0.0677662590228707,0.010624313354492187,0.029779052734375,0.004838991165161133,Cov+kNN,wine
4,,16,0.9157303370786517,0.9473684210526315,0.9375,1.0,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.9444444444444444,0.8823529411764706,0.06229634464799057,0.013280391693115234,0.03722381591796875,0.006033182144165039,Cov+kNN,wine
5,,32,0.9213483146067416,0.9473684210526315,0.9375,1.0,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8823529411764706,0.0373170725956748,0.01593647003173828,0.0446685791015625,0.0072204828262329105,Cov+kNN,wine
6,,64,0.8707865168539326,0.9473684210526315,0.8125,0.9444444444444444,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.8823529411764706,0.05781283237146577,0.01859254837036133,0.05211334228515625,0.008404159545898437,Cov+kNN,wine
7,,128,0.5898876404494382,0.631578947368421,0.5625,0.5,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.7222222222222222,0.5555555555555556,0.5294117647058824,0.0645071604550703,0.021248626708984374,0.05955810546875,0.00924386978149414,Cov+kNN,wine
