,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.8221153846153846,0.9545454545454546,0.7,0.7619047619047619,0.8571428571428571,0.9047619047619048,0.5714285714285714,0.9523809523809523,0.8095238095238095,0.8,0.9,0.1143023485861057,0.004186320304870606,0.0009646177291870117,0.0014713287353515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,kNN,sonar
1,,2,0.7596153846153846,0.9090909090909091,0.6,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.6190476190476191,0.7142857142857143,0.7619047619047619,0.8,0.95,0.10468066194378517,0.008372640609741211,0.0019292354583740235,0.002860617637634277,0.8942307692307693,0.8817204301075269,0.9042553191489362,0.893048128342246,0.893048128342246,0.8983957219251337,0.9197860962566845,0.8877005347593583,0.8983957219251337,0.8882978723404256,0.8776595744680851,0.011401813846489424,kNN,sonar
2,,4,0.7836538461538461,0.9090909090909091,0.6,0.8571428571428571,0.7619047619047619,0.7142857142857143,0.6190476190476191,0.9047619047619048,0.8095238095238095,0.75,0.9,0.10827640559175815,0.012558960914611816,0.0028938531875610353,0.004245328903198242,0.8482905982905983,0.8387096774193549,0.8617021276595744,0.8663101604278075,0.8556149732620321,0.8502673796791443,0.8609625668449198,0.8342245989304813,0.839572192513369,0.8457446808510638,0.8297872340425532,0.011988410300772984,kNN,sonar
3,,8,0.7211538461538461,0.6818181818181818,0.5,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7,0.9,0.11934605646660701,0.016745281219482423,0.003858470916748047,0.005641508102416992,0.8060897435897436,0.7956989247311828,0.8138297872340425,0.8074866310160428,0.8342245989304813,0.8502673796791443,0.8074866310160428,0.786096256684492,0.786096256684492,0.7872340425531915,0.7925531914893617,0.02062345207914486,kNN,sonar
4,,16,0.6778846153846154,0.6363636363636364,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.7619047619047619,0.5714285714285714,0.8,0.75,0.08905512398740745,0.020931601524353027,0.004823088645935059,0.007020258903503418,0.6960470085470085,0.7043010752688172,0.7340425531914894,0.6844919786096256,0.6631016042780749,0.7005347593582888,0.7005347593582888,0.6737967914438503,0.7112299465240641,0.6968085106382979,0.6914893617021277,0.01875615391330182,kNN,sonar
5,,32,0.6442307692307693,0.5909090909090909,0.7,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.65,0.7,0.08725013718920156,0.025117921829223632,0.005787706375122071,0.008403801918029785,0.6661324786324786,0.6720430107526881,0.675531914893617,0.6684491978609626,0.6631016042780749,0.6737967914438503,0.7005347593582888,0.6631016042780749,0.6577540106951871,0.648936170212766,0.6382978723404256,0.01590582946372194,kNN,sonar
6,,64,0.6442307692307693,0.5454545454545454,0.6,0.6666666666666666,0.7142857142857143,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.7,0.8,0.0749801670396791,0.029304242134094237,0.006752324104309082,0.009791088104248048,0.6399572649572649,0.6505376344086021,0.6329787234042553,0.6363636363636364,0.6470588235294118,0.6363636363636364,0.6310160427807486,0.6310160427807486,0.6470588235294118,0.648936170212766,0.6382978723404256,0.007284241846748824,kNN,sonar
7,,128,0.5961538461538461,0.5454545454545454,0.55,0.5238095238095238,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.47619047619047616,0.6,0.6,0.07605835467400983,0.033490562438964845,0.007716941833496094,0.010657405853271485,0.5908119658119658,0.5698924731182796,0.601063829787234,0.5882352941176471,0.5721925133689839,0.5882352941176471,0.6149732620320856,0.5721925133689839,0.6256684491978609,0.5797872340425532,0.5957446808510638,0.01787173645948954,kNN,sonar
