,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
19,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.07380342483520508,14733.546106219292,0.015848875045776367,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
20,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.07749359607696533,14816.650401043891,0.016420507431030275,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
21,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.08118376731872559,15235.939135861398,0.01698319911956787,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
22,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.08487393856048583,16048.10756585598,0.017554283142089844,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
23,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.08856410980224609,17559.5684525013,0.018119049072265626,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
24,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.09225428104400635,17640.73093416691,0.01868903636932373,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
25,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.0959444522857666,18048.907748508453,0.01925652027130127,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
26,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.09963462352752686,18927.30642490387,0.01982691287994385,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
27,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.1033247947692871,20586.73559038639,0.020391845703125,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
28,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.10701496601104736,20669.83988521099,0.020966243743896485,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
29,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.11070513725280762,21089.128620028496,0.021529889106750487,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
30,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.11439530849456787,21901.29705002308,0.022101783752441408,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
31,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.11808547973632813,23412.757936668397,0.02267606258392334,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
32,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.12177565097808837,23493.920418334008,0.02323756217956543,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
33,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.12546582221984864,23902.09723267555,0.02381100654602051,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
34,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.1291559934616089,24780.495909070967,0.024373388290405272,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
35,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.13284616470336913,26439.92507455349,0.024945974349975586,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
36,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.1365363359451294,26523.02936937809,0.02550814151763916,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
37,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.14022650718688964,26942.318104195594,0.02608795166015625,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
38,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.1439166784286499,27754.48653419018,0.026692748069763184,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
39,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.14760684967041016,29265.947420835495,0.027289104461669923,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
40,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.1512970209121704,29347.109902501106,0.027872681617736816,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
41,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.15498719215393067,29755.286716842653,0.02847902774810791,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
42,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.1586773633956909,30633.68539323807,0.02906534671783447,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
43,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.16236753463745118,32293.11455872059,0.029662227630615233,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
44,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.16605770587921143,32376.21885354519,0.030248117446899415,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
45,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.16974787712097167,32795.50758836269,0.030846929550170897,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
46,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.17343804836273194,33607.67601835728,0.03143277168273926,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
47,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.17712821960449218,35119.1369050026,0.0320249080657959,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
48,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.18081839084625245,35200.29938666821,0.03261106014251709,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
49,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.1845085620880127,35608.47620100975,0.033200860023498535,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
50,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.18819873332977294,36486.874877405164,0.033797264099121094,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
51,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.1918889045715332,38146.304042887685,0.034378862380981444,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
