,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
17,Cascading:Unable to make 100 chunks of 5 examples each,1,0.0,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057738304138183594,0.13458170890808105,0.008765983581542968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
18,Cascading:Unable to make 500 chunks of 5 examples each,1,0.0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060945987701416016,0.13901057243347167,0.008765983581542968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
19,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06415367126464844,0.1433558940887451,0.008765983581542968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
20,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.66,7,10,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8,0.13148721948877348,0.06736135482788086,0.14782631397247314,0.00993640422821045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,iris
21,Cascading:Unable to make 50 chunks of 7 examples each,1,0.0,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07056903839111328,0.1511861801147461,0.00993640422821045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
22,Cascading:Unable to make 100 chunks of 7 examples each,1,0.0,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0737767219543457,0.15435705184936524,0.00993640422821045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
23,Cascading:Unable to make 500 chunks of 7 examples each,1,0.0,7,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07698440551757812,0.15902948379516602,0.00993640422821045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
24,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.0,7,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08019208908081055,0.16261069774627684,0.00993640422821045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
25,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.6666666666666666,10,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.1102230246251565e-16,0.08339977264404297,0.16586527824401856,0.01111915111541748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,iris
26,Cascading:Unable to make 50 chunks of 10 examples each,1,0.0,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08660745620727539,0.16878583431243896,0.01111915111541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
27,Cascading:Unable to make 100 chunks of 10 examples each,1,0.0,10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08981513977050781,0.17174098491668702,0.01111915111541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
28,Cascading:Unable to make 500 chunks of 10 examples each,1,0.0,10,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302282333374023,0.1746899127960205,0.01111915111541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
29,Cascading:Unable to make 1000 chunks of 10 examples each,1,0.0,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09623050689697266,0.177251935005188,0.01111915111541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
30,Cascading:Unable to make 10 chunks of 16 examples each,1,0.0,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09943819046020508,0.17939255237579346,0.01111915111541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
31,Cascading:Unable to make 50 chunks of 16 examples each,1,0.0,16,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1026458740234375,0.18159070014953613,0.01111915111541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
32,Cascading:Unable to make 100 chunks of 16 examples each,1,0.0,16,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10585355758666992,0.18468213081359863,0.01111915111541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
33,Cascading:Unable to make 500 chunks of 16 examples each,1,0.0,16,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10906124114990234,0.1869346857070923,0.01111915111541748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,iris
