,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.7696629213483146,0.7368421052631579,0.9375,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.09192548084931192,0.004049348831176758,0.0009051322937011719,0.001288461685180664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,kNN,wine
1,,2,0.6910112359550562,0.6842105263157895,0.8125,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.7222222222222222,0.6666666666666666,0.6470588235294118,0.06336763268574544,0.008098697662353516,0.0018102645874023438,0.002474403381347656,0.8720349563046192,0.8805031446540881,0.8641975308641975,0.85625,0.85625,0.875,0.88125,0.875,0.88125,0.88125,0.8695652173913043,0.009538847128587864,kNN,wine
2,,4,0.6685393258426966,0.6842105263157895,0.75,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.7058823529411765,0.06290493203890417,0.012148046493530273,0.002715396881103516,0.003662896156311035,0.8183520599250936,0.8364779874213837,0.808641975308642,0.8125,0.8,0.80625,0.8375,0.83125,0.8,0.825,0.8260869565217391,0.013835311294002263,kNN,wine
3,,8,0.702247191011236,0.7368421052631579,0.6875,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.7777777777777778,0.6470588235294118,0.05244151775475173,0.016197395324707032,0.0036205291748046876,0.0048553466796875,0.7790262172284644,0.7735849056603774,0.7777777777777778,0.75,0.78125,0.8125,0.76875,0.775,0.775,0.8,0.7763975155279503,0.016074695110466546,kNN,wine
4,,16,0.702247191011236,0.6842105263157895,0.8125,0.8333333333333334,0.6111111111111112,0.6111111111111112,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.5882352941176471,0.08187730042872836,0.02024674415588379,0.004525661468505859,0.006085252761840821,0.7303370786516854,0.7295597484276729,0.7098765432098766,0.71875,0.73125,0.75,0.70625,0.725,0.73125,0.75,0.7515527950310559,0.015450575832969791,kNN,wine
5,,32,0.7078651685393258,0.7368421052631579,0.8125,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.7222222222222222,0.5882352941176471,0.08586816434665545,0.024296092987060546,0.005430793762207032,0.0072838783264160155,0.7259675405742821,0.7044025157232704,0.7160493827160493,0.70625,0.7375,0.73125,0.7125,0.74375,0.74375,0.725,0.7391304347826086,0.014495195702169145,kNN,wine
6,,64,0.7191011235955056,0.7368421052631579,0.8125,0.8888888888888888,0.6111111111111112,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5882352941176471,0.09043630468565031,0.028345441818237303,0.006335926055908203,0.008476829528808594,0.7240948813982522,0.7169811320754716,0.7160493827160493,0.7,0.73125,0.71875,0.7375,0.73125,0.73125,0.7125,0.7453416149068323,0.012820356032295978,kNN,wine
7,,128,0.6573033707865169,0.6842105263157895,0.75,0.7222222222222222,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6470588235294118,0.05339697282421739,0.032394790649414064,0.007241058349609375,0.009322404861450195,0.6573033707865169,0.6540880503144654,0.6481481481481481,0.65,0.6625,0.6625,0.65625,0.66875,0.65625,0.65625,0.6583850931677019,0.005805419615473832,kNN,wine
