,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
21,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.07077150344848633,2333.571062541008,0.013990139961242676,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
22,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.07398838996887207,2462.7896350622177,0.014555406570434571,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
23,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.07720527648925782,2682.574252796173,0.015123891830444335,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
24,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.08042216300964355,2696.100356268883,0.015693235397338866,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
25,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.08363904953002929,2759.5464325904845,0.016255760192871095,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
26,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.08685593605041504,2887.598311328888,0.016821908950805663,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
27,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.09007282257080078,3149.5468982219695,0.017380142211914064,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
28,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.09328970909118653,3162.6295417308806,0.01794443130493164,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
29,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.09650659561157227,3227.7624801397324,0.018505311012268065,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
30,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.099723482131958,3356.981052660942,0.01907205581665039,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
31,"Input contains NaN, infinity or a value too large for dtype('float64').",8,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.10294036865234375,3576.7656703948974,0.01963064670562744,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
32,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.10615725517272949,3590.291773867607,0.020196914672851562,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
33,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.10937414169311524,3653.737850189209,0.02076406478881836,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
34,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.11259102821350098,3781.7897289276125,0.021322298049926757,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
35,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.11580791473388671,4043.738315820694,0.02189309597015381,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
