,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.8717948717948718,0.8611111111111112,0.8529411764705882,0.8888888888888888,0.9444444444444444,0.8611111111111112,0.9444444444444444,0.7714285714285715,0.7941176470588235,0.9117647058823529,0.8823529411764706,0.05407885355250435,0.0036190509796142577,0.00092315673828125,0.001657557487487793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,kNN,ionosphere
1,,2,0.8945868945868946,0.8888888888888888,0.8823529411764706,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.8571428571428571,0.7941176470588235,0.9411764705882353,0.9411764705882353,0.04365456950769712,0.0072381019592285155,0.0018463134765625,0.0032259941101074217,0.9835390946502057,0.9809523809523809,0.9873817034700315,0.9873015873015873,0.9809523809523809,0.9809523809523809,0.9873015873015873,0.9841772151898734,0.9842271293375394,0.9810725552050473,0.9810725552050473,0.002760431685521124,kNN,ionosphere
2,,4,0.8689458689458689,0.9166666666666666,0.8823529411764706,0.8611111111111112,0.9166666666666666,0.8888888888888888,0.8611111111111112,0.8571428571428571,0.7647058823529411,0.8529411764705882,0.8823529411764706,0.040856982139249653,0.010857152938842773,0.00276947021484375,0.0047832965850830075,0.9218106995884774,0.9174603174603174,0.9242902208201893,0.926984126984127,0.9111111111111111,0.926984126984127,0.9142857142857143,0.930379746835443,0.917981072555205,0.9242902208201893,0.9242902208201893,0.00591692118813235,kNN,ionosphere
3,,8,0.8404558404558404,0.8888888888888888,0.8823529411764706,0.8611111111111112,0.8055555555555556,0.8611111111111112,0.8611111111111112,0.8285714285714286,0.7058823529411765,0.8823529411764706,0.8235294117647058,0.05185608689306202,0.014476203918457031,0.003692626953125,0.006351017951965332,0.8632478632478633,0.8571428571428571,0.861198738170347,0.8666666666666667,0.8571428571428571,0.873015873015873,0.8634920634920635,0.8734177215189873,0.8706624605678234,0.8517350157728707,0.8580441640378549,0.007098797312987834,kNN,ionosphere
4,,16,0.8404558404558404,0.8888888888888888,0.9117647058823529,0.8055555555555556,0.8055555555555556,0.8611111111111112,0.8611111111111112,0.8571428571428571,0.7352941176470589,0.8529411764705882,0.8235294117647058,0.04743375366311712,0.01809525489807129,0.00461578369140625,0.007918071746826173,0.8521684077239633,0.8380952380952381,0.8548895899053628,0.8603174603174604,0.8412698412698413,0.8571428571428571,0.8507936507936508,0.8544303797468354,0.861198738170347,0.8517350157728707,0.8517350157728707,0.007101537220755333,kNN,ionosphere
5,,32,0.811965811965812,0.8888888888888888,0.8823529411764706,0.7222222222222222,0.8333333333333334,0.8055555555555556,0.8611111111111112,0.8,0.6764705882352942,0.8529411764705882,0.7941176470588235,0.06506712392928996,0.021714305877685545,0.0055389404296875,0.009482336044311524,0.8227287116176005,0.819047619047619,0.8233438485804416,0.8380952380952381,0.8126984126984127,0.8285714285714286,0.819047619047619,0.8259493670886076,0.832807570977918,0.8264984227129337,0.8012618296529969,0.009926466167534365,kNN,ionosphere
6,,64,0.698005698005698,0.7777777777777778,0.7058823529411765,0.6666666666666666,0.6666666666666666,0.75,0.6944444444444444,0.7142857142857143,0.6470588235294118,0.7058823529411765,0.6470588235294118,0.0407705248970426,0.025333356857299805,0.00646209716796875,0.011041641235351562,0.6967394745172523,0.6793650793650794,0.6971608832807571,0.707936507936508,0.7047619047619048,0.6984126984126984,0.692063492063492,0.6962025316455697,0.7003154574132492,0.7003154574132492,0.6908517350157729,0.00759587855430639,kNN,ionosphere
7,,128,0.6410256410256411,0.6388888888888888,0.6470588235294118,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6285714285714286,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.005687127277413469,0.028952407836914062,0.00738525390625,0.012607860565185546,0.6410256410256411,0.6412698412698413,0.6403785488958991,0.6412698412698413,0.6412698412698413,0.6412698412698413,0.6412698412698413,0.6424050632911392,0.6403785488958991,0.6403785488958991,0.6403785488958991,0.0006225650928345811,kNN,ionosphere
