,error,jdeknn__f__n_neighbors,jdeknn__f__weights,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,uniform,100,full,1,0.9527896995708155,0.9436619718309859,0.9420289855072463,0.9714285714285714,0.9285714285714286,0.9714285714285714,0.9857142857142858,0.9428571428571428,0.9,0.9857142857142858,0.9565217391304348,0.025588749398417952,0.0052079916000366214,221.8663943052292,0.0018456459045410156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
1,,1,uniform,100,diagonal,1,0.9513590844062947,0.9577464788732394,0.927536231884058,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9571428571428572,0.9,0.9857142857142858,0.9420289855072463,0.023362656184182,0.010415983200073243,247.7100347518921,0.003765416145324707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
2,,1,uniform,250,full,1,0.9628040057224606,0.9577464788732394,0.9420289855072463,0.9571428571428572,0.9428571428571428,0.9714285714285714,1.0,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9855072463768116,0.01834332664322275,0.015623974800109863,794.8360548257828,0.0053887605667114254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
3,,1,uniform,250,diagonal,1,0.944206008583691,0.9436619718309859,0.9565217391304348,0.9285714285714286,0.9428571428571428,0.9,0.9857142857142858,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.9420289855072463,0.022510898583296128,0.020831966400146486,858.6689904689789,0.007299900054931641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
4,,1,uniform,500,full,1,0.9570815450643777,0.9577464788732394,0.9855072463768116,0.9571428571428572,0.9428571428571428,0.9571428571428572,0.9857142857142858,0.9285714285714286,0.9285714285714286,0.9714285714285714,0.9565217391304348,0.019137467279952258,0.026039958000183105,1951.2398527622222,0.008926773071289062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
5,,1,uniform,500,diagonal,1,0.9513590844062947,0.9577464788732394,0.9710144927536232,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9571428571428572,0.9285714285714286,0.9285714285714286,0.9857142857142858,0.9130434782608695,0.02424974700746925,0.031247949600219725,2077.9190885066987,0.0107818603515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
6,,1,distance,100,full,1,0.9527896995708155,0.9577464788732394,0.9710144927536232,0.9,0.9428571428571428,0.9714285714285714,0.9857142857142858,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.927536231884058,0.026459014400429727,0.036455941200256345,2301.003132557869,0.01239604949951172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
7,,1,distance,100,diagonal,1,0.944206008583691,0.9577464788732394,0.9420289855072463,0.9142857142857143,0.9428571428571428,0.9571428571428572,0.9857142857142858,0.9142857142857143,0.9285714285714286,0.9857142857142858,0.9130434782608695,0.026094225325724828,0.04166393280029297,2327.0695736885073,0.014394187927246093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
8,,1,distance,250,full,1,0.9570815450643777,0.971830985915493,0.9565217391304348,0.9714285714285714,0.9428571428571428,0.9571428571428572,0.9857142857142858,0.9714285714285714,0.9142857142857143,0.9857142857142858,0.9130434782608695,0.024984597957198037,0.04687192440032959,2884.1141813755034,0.016016244888305664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
9,,1,distance,250,diagonal,1,0.9484978540772532,0.9436619718309859,0.9420289855072463,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9571428571428572,0.927536231884058,0.01161933778410085,0.05207991600036621,2948.9758241176605,0.017913103103637695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,breast-cancer
