,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
16,Cascading:low >= high,1,0.3671875,5,50,0.33766233766233766,0.3815789473684211,0.37662337662337664,0.38961038961038963,0.33766233766233766,0.37662337662337664,0.38961038961038963,0.36363636363636365,0.36363636363636365,0.35526315789473684,0.018170411780371525,0.0696953535079956,1.2904743194580077,0.011426520347595216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,pima-indians
17,Cascading:low >= high,1,0.0,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07379508018493652,1.320453119277954,0.011426520347595216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
18,Cascading:low >= high,1,0.0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07789480686187744,1.3407906293869019,0.011426520347595216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
19,Cascading:low >= high,1,0.0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199453353881836,1.3539731979370118,0.011426520347595216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
20,Cascading:low >= high,1,0.3893229166666667,7,10,0.35064935064935066,0.3684210526315789,0.3246753246753247,0.4025974025974026,0.33766233766233766,0.45454545454545453,0.44155844155844154,0.38961038961038963,0.4805194805194805,0.34210526315789475,0.051464283852946754,0.08609426021575928,1.3587306499481202,0.012502908706665039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,pima-indians
21,Cascading:low >= high,1,0.3802083333333333,7,50,0.33766233766233766,0.35526315789473684,0.4025974025974026,0.4025974025974026,0.3246753246753247,0.38961038961038963,0.42857142857142855,0.4025974025974026,0.37662337662337664,0.3815789473684211,0.03076078446748066,0.0901939868927002,1.4096779823303223,0.013585472106933593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,pima-indians
22,Cascading:low >= high,1,0.0,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09429371356964111,1.437615656852722,0.013585472106933593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
23,Cascading:low >= high,1,0.0,7,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09839344024658203,1.4506250381469727,0.013585472106933593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
24,Cascading:low >= high,1,0.0,7,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10249316692352295,1.4599746227264405,0.013585472106933593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
25,Cascading:low >= high,1,0.37109375,10,10,0.38961038961038963,0.35526315789473684,0.4025974025974026,0.35064935064935066,0.33766233766233766,0.4155844155844156,0.4025974025974026,0.35064935064935066,0.35064935064935066,0.35526315789473684,0.026795566109786253,0.10659289360046387,1.470750665664673,0.014282989501953124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,pima-indians
26,Cascading:low >= high,1,0.0,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11069262027740479,1.484701657295227,0.014282989501953124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
27,Cascading:low >= high,1,0.0,10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1147923469543457,1.4983858585357666,0.014282989501953124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,pima-indians
