,error,jdepur__f__sig,jdepur__s__n_gen,jdepur__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.5,25,full,1,0.9666666666666667,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,0.8666666666666667,0.8666666666666667,1.0,1.0,0.053748384988656986,0.004241323471069336,18.376244020462035,0.001360011100769043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
1,,0.5,25,diagonal,1,0.9266666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,1.0,0.05537749241945382,0.008482646942138673,22.722212195396423,0.002538728713989258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
2,,0.5,100,full,1,0.9266666666666666,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.05537749241945382,0.012723970413208007,89.26970989704132,0.0037160873413085937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
3,,0.5,100,diagonal,1,0.92,0.9333333333333333,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,1.0,0.8,0.9333333333333333,0.9333333333333333,1.0,0.06531972647421806,0.016965293884277345,105.0923103094101,0.004900240898132324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
4,,1.0,25,full,1,0.94,0.8666666666666667,1.0,1.0,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.046666666666666655,0.02120661735534668,121.9098310470581,0.006089234352111816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
5,,1.0,25,diagonal,1,0.9133333333333333,0.8,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.059999999999999984,0.025447940826416014,126.03194181919098,0.00725104808807373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
6,,1.0,100,full,1,0.9266666666666666,0.8,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.05537749241945382,0.029689264297485352,192.31035788059233,0.008430790901184083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
7,,1.0,100,diagonal,1,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.03393058776855469,208.00938606262207,0.009591221809387207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
8,,10.0,25,full,1,0.92,0.8666666666666667,0.8666666666666667,1.0,0.9333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.8,1.0,0.9333333333333333,0.06531972647421806,0.038171911239624025,224.66426339149476,0.010754680633544922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
9,,10.0,25,diagonal,1,0.92,0.8,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8,0.9333333333333333,0.9333333333333333,0.06531972647421808,0.04241323471069336,228.65993354320526,0.011910533905029297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
10,,10.0,100,full,1,0.94,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8,1.0,0.9333333333333333,0.05537749241945382,0.046654558181762694,290.749907040596,0.01306445598602295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
11,,10.0,100,diagonal,1,0.92,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.7333333333333333,1.0,0.9333333333333333,0.07774602526460402,0.05089588165283203,306.0367786884308,0.014206123352050782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEPur+kNN,iris
12,,0.5,25,full,2,0.9533333333333334,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.04268749491621898,0.05513720512390137,324.4130227088928,0.015345954895019531,0.9622222222222222,0.9629629629629629,0.9703703703703703,0.9703703703703703,0.9851851851851852,0.9629629629629629,0.9481481481481482,0.9703703703703703,0.9555555555555556,0.9555555555555556,0.9407407407407408,0.01214905145693088,JDEPur+kNN,iris
13,,0.5,25,diagonal,2,0.9266666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8,0.9333333333333333,1.0,1.0,0.8666666666666667,0.8666666666666667,1.0,0.06960204339273698,0.059378528594970705,328.7589908838272,0.01649324893951416,0.96,0.9777777777777777,0.9703703703703703,0.9703703703703703,0.9481481481481482,0.9777777777777777,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9703703703703703,0.9629629629629629,0.015956043872991096,JDEPur+kNN,iris
