,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.2775,0.225,0.2,0.4,0.4,0.25,0.275,0.25,0.275,0.25,0.25,0.06466258578188783,0.004196333885192871,0.0007130146026611328,0.0012555122375488281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,kNN,gaussians
1,,2,0.2775,0.275,0.25,0.275,0.35,0.275,0.225,0.35,0.2,0.25,0.325,0.048023431780746355,0.008392667770385743,0.0014260292053222656,0.0023694515228271486,0.6263888888888889,0.6361111111111111,0.6388888888888888,0.6166666666666667,0.6027777777777777,0.6333333333333333,0.6361111111111111,0.625,0.625,0.6305555555555555,0.6194444444444445,0.010559209893748993,kNN,gaussians
2,,4,0.2425,0.25,0.175,0.225,0.375,0.175,0.225,0.325,0.15,0.275,0.25,0.06619101147436864,0.012589001655578613,0.0021390438079833983,0.003488039970397949,0.5511111111111111,0.575,0.5444444444444444,0.5527777777777778,0.5444444444444444,0.5611111111111111,0.5666666666666667,0.525,0.5638888888888889,0.5416666666666666,0.5361111111111111,0.014709113660970803,kNN,gaussians
3,,8,0.2525,0.25,0.225,0.35,0.4,0.2,0.15,0.35,0.225,0.2,0.175,0.08019507466172719,0.016785335540771485,0.002852058410644531,0.0046073198318481445,0.4263888888888889,0.4361111111111111,0.42777777777777776,0.42777777777777776,0.4,0.4361111111111111,0.4388888888888889,0.40555555555555556,0.41944444444444445,0.4166666666666667,0.45555555555555555,0.015725755394131284,kNN,gaussians
4,,16,0.27,0.325,0.225,0.325,0.3,0.275,0.225,0.275,0.25,0.25,0.25,0.035,0.020981669425964355,0.003565073013305664,0.005718684196472168,0.40305555555555556,0.4166666666666667,0.41944444444444445,0.4,0.39166666666666666,0.4222222222222222,0.4027777777777778,0.375,0.3972222222222222,0.4027777777777778,0.4027777777777778,0.013347793085259962,kNN,gaussians
5,,32,0.23,0.25,0.3,0.25,0.225,0.175,0.225,0.275,0.2,0.15,0.25,0.04301162633521314,0.025178003311157226,0.0042780876159667965,0.006840133666992187,0.3422222222222222,0.32222222222222224,0.3194444444444444,0.35555555555555557,0.34444444444444444,0.33611111111111114,0.35,0.34444444444444444,0.36944444444444446,0.3527777777777778,0.3277777777777778,0.015051352426826746,kNN,gaussians
6,,64,0.29,0.275,0.3,0.3,0.3,0.25,0.25,0.4,0.25,0.2,0.375,0.057227615711297995,0.029374337196350096,0.00499110221862793,0.007950663566589355,0.3375,0.3472222222222222,0.33611111111111114,0.3333333333333333,0.35,0.3472222222222222,0.33055555555555555,0.325,0.3277777777777778,0.33055555555555555,0.3472222222222222,0.008979572152913668,kNN,gaussians
7,,128,0.2575,0.3,0.175,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.325,0.06128825336065632,0.03357067108154297,0.005704116821289062,0.009248924255371094,0.3022222222222222,0.2916666666666667,0.3111111111111111,0.3111111111111111,0.29444444444444445,0.3111111111111111,0.3,0.2833333333333333,0.33055555555555555,0.3138888888888889,0.275,0.015654447559561517,kNN,gaussians
