,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:singular matrix,1,50,360,0,0,0,0,0,0,0,0,0,0,0,0.0,0.005912947654724121,0.05827107429504395,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
1,Cascading:singular matrix,1,50,720,0,0,0,0,0,0,0,0,0,0,0,0.0,0.011825895309448243,0.12127289772033692,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
2,Cascading:singular matrix,1,50,1440,0,0,0,0,0,0,0,0,0,0,0,0.0,0.017738842964172365,0.24105048179626465,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
3,Cascading:singular matrix,1,50,2880,0,0,0,0,0,0,0,0,0,0,0,0.0,0.023651790618896485,0.4731074333190918,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
4,Cascading:singular matrix,1,250,360,0,0,0,0,0,0,0,0,0,0,0,0.0,0.029564738273620605,0.5035765647888184,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
5,Cascading:singular matrix,1,250,720,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03547768592834473,0.5567248582839965,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
6,Cascading:singular matrix,1,250,1440,0,0,0,0,0,0,0,0,0,0,0,0.0,0.041390633583068846,0.6554860830307007,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
7,Cascading:singular matrix,1,250,2880,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04730358123779297,0.8516137361526489,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
8,Cascading:singular matrix,1,500,360,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05321652889251709,0.8844003915786743,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
9,Cascading:singular matrix,1,500,720,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05912947654724121,0.9320581674575805,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,LSML+kNN,digits6
