,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,50,diagonal,,1,0.9879963065558633,0.9910714285714286,0.9905660377358491,0.9819819819819819,0.9908256880733946,1.0,0.9722222222222222,0.9814814814814815,1.0,1.0,0.9716981132075472,0.010244011924190744,0.004359817504882813,30.226932334899903,0.0023345470428466795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,digits6
1,100,diagonal,,1,0.987072945521699,1.0,1.0,0.963963963963964,0.981651376146789,1.0,0.9907407407407407,0.9722222222222222,0.9814814814814815,1.0,0.9811320754716981,0.012378962487188555,0.008719635009765626,93.33580856323242,0.0046242475509643555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,digits6
2,250,diagonal,,1,0.9935364727608494,0.9910714285714286,1.0,0.9819819819819819,0.981651376146789,1.0,0.9907407407407407,0.9907407407407407,1.0,1.0,1.0,0.007108367502891732,0.013079452514648437,231.0536257982254,0.006864857673645019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,digits6
3,50,diagonal,,2,0.9824561403508771,0.9910714285714286,0.9811320754716981,0.972972972972973,0.981651376146789,1.0,0.9722222222222222,0.9722222222222222,1.0,0.9906542056074766,0.9622641509433962,0.012109936398876881,0.01743927001953125,261.2805581331253,0.009063792228698731,0.9943572381245511,0.995880535530381,0.9948822927328557,0.992798353909465,0.9948665297741273,0.9928205128205129,0.9938461538461538,0.9948717948717949,0.9948717948717949,0.9959016393442623,0.9928352098259979,0.0011462822111566757,CMAESFme+kNN,digits6
4,100,diagonal,,2,0.9861495844875346,1.0,1.0,0.9819819819819819,0.9908256880733946,0.9907407407407407,0.9907407407407407,0.9629629629629629,0.9814814814814815,0.9906542056074766,0.9716981132075472,0.011196386646284534,0.021799087524414062,324.3894343614578,0.013369345664978027,0.9921001333743716,0.9917610710607621,0.9928352098259979,0.9886831275720165,0.9948665297741273,0.9917948717948718,0.9917948717948718,0.9917948717948718,0.9928205128205129,0.9938524590163934,0.9907881269191402,0.0015992084135502032,CMAESFme+kNN,digits6
5,250,diagonal,,2,0.989843028624192,1.0,1.0,0.9819819819819819,0.963302752293578,1.0,1.0,0.9814814814814815,0.9907407407407407,1.0,0.9811320754716981,0.011952407141125599,0.026158905029296874,462.1072515964508,0.01814870834350586,0.994767620806402,0.9938208032955715,0.9928352098259979,0.9969135802469136,0.9969199178644764,0.9948717948717949,0.9938461538461538,0.9958974358974358,0.9917948717948718,0.9938524590163934,0.9969293756397134,0.0017421990332389834,CMAESFme+kNN,digits6
6,50,diagonal,,4,0.9815327793167128,0.9910714285714286,0.9811320754716981,0.972972972972973,0.981651376146789,1.0,0.9629629629629629,0.9722222222222222,1.0,0.9906542056074766,0.9622641509433962,0.013162433358565106,0.030518722534179688,492.3341839313507,0.023027658462524414,0.9916897506925207,0.9948506694129763,0.9928352098259979,0.9886831275720165,0.9928131416837782,0.9887179487179487,0.9938461538461538,0.9897435897435898,0.9938461538461538,0.9948770491803278,0.9866939611054247,0.002804306482121555,CMAESFme+kNN,digits6
7,100,diagonal,,4,0.984302862419206,1.0,0.9905660377358491,0.963963963963964,0.9908256880733946,1.0,0.9907407407407407,0.9722222222222222,0.9722222222222222,1.0,0.9622641509433962,0.014330651105030132,0.0348785400390625,555.4430601596832,0.027869272232055663,0.9908689853288192,0.9907312049433573,0.9907881269191402,0.9866255144032922,0.9917864476386037,0.9928205128205129,0.9938461538461538,0.9907692307692307,0.9897435897435898,0.9948770491803278,0.9866939611054247,0.0025752312291094765,CMAESFme+kNN,digits6
8,250,diagonal,,4,0.9907663896583564,0.9910714285714286,1.0,0.9819819819819819,0.981651376146789,1.0,0.9907407407407407,0.9814814814814815,1.0,1.0,0.9811320754716981,0.008248606841589547,0.039238357543945314,693.1608773946762,0.0326474666595459,0.9924079203857598,0.9917610710607621,0.9928352098259979,0.9948559670781894,0.9938398357289527,0.9917948717948718,0.9938461538461538,0.9938461538461538,0.9825641025641025,0.9948770491803278,0.9938587512794268,0.0034388867473846567,CMAESFme+kNN,digits6
9,50,diagonal,,8,0.974145891043398,0.9732142857142857,0.9716981132075472,0.9819819819819819,0.981651376146789,1.0,0.9629629629629629,0.9629629629629629,0.9722222222222222,0.9906542056074766,0.9433962264150944,0.01504946048284711,0.043598175048828125,723.3878097295761,0.03754494190216064,0.98635477582846,0.9876416065911432,0.9856704196519959,0.9835390946502057,0.9887063655030801,0.9876923076923076,0.9856410256410256,0.9876923076923076,0.9917948717948718,0.985655737704918,0.9795291709314228,0.003103899020080008,CMAESFme+kNN,digits6
10,100,diagonal,,8,0.9824561403508771,1.0,1.0,0.954954954954955,0.9724770642201835,1.0,0.9907407407407407,0.9629629629629629,0.9907407407407407,1.0,0.9528301886792453,0.018660099889337294,0.047957992553710936,786.4966859579087,0.04202325344085693,0.9871755411921617,0.9886714727085479,0.9887410440122825,0.9794238683127572,0.9887063655030801,0.9917948717948718,0.9907692307692307,0.9876923076923076,0.9866666666666667,0.9918032786885246,0.977482088024565,0.0046613117621786436,CMAESFme+kNN,digits6
11,250,diagonal,,8,0.989843028624192,0.9910714285714286,0.9905660377358491,0.990990990990991,0.9724770642201835,1.0,1.0,0.9814814814814815,0.9814814814814815,0.9906542056074766,1.0,0.008688491513528187,0.05231781005859375,924.2145031929016,0.04412238597869873,0.9875859238740126,0.9866117404737385,0.9928352098259979,0.9835390946502057,0.9938398357289527,0.9876923076923076,0.9887179487179487,0.9897435897435898,0.9784615384615385,0.9907786885245902,0.9836233367451381,0.004461959467731163,CMAESFme+kNN,digits6
12,50,diagonal,,16,0.9704524469067405,0.9732142857142857,0.9716981132075472,0.972972972972973,1.0,1.0,0.9537037037037037,0.9351851851851852,0.9629629629629629,0.9813084112149533,0.9528301886792453,0.019417504132486205,0.056677627563476565,954.4414355278016,0.046251964569091794,0.9788652918846825,0.98043254376931,0.984646878198567,0.9742798353909465,0.9825462012320328,0.9825641025641025,0.9774358974358974,0.9794871794871794,0.9815384615384616,0.9743852459016393,0.9713408393039918,0.004127997936093773,CMAESFme+kNN,digits6
13,100,diagonal,,16,0.974145891043398,0.9821428571428571,0.9622641509433962,0.9279279279279279,0.9908256880733946,1.0,0.9907407407407407,0.9629629629629629,0.9814814814814815,1.0,0.9433962264150944,0.02314325932264406,0.061037445068359376,1017.5503117561341,0.048368096351623535,0.9776341438391299,0.98043254376931,0.9805527123848515,0.9670781893004116,0.9753593429158111,0.9846153846153847,0.9794871794871794,0.9794871794871794,0.9784615384615385,0.9825819672131147,0.9682702149437052,0.0054900443011916995,CMAESFme+kNN,digits6
14,250,diagonal,,16,0.9833795013850416,0.9821428571428571,0.9905660377358491,0.9819819819819819,0.9724770642201835,0.9907407407407407,1.0,0.9814814814814815,0.9722222222222222,0.9906542056074766,0.9716981132075472,0.00906576659220232,0.06539726257324219,1155.268128991127,0.050534820556640624,0.9812249923053247,0.9783728115345005,0.9836233367451381,0.9763374485596708,0.9845995893223819,0.9805128205128205,0.9876923076923076,0.9835897435897436,0.9764102564102564,0.9825819672131147,0.9785056294779939,0.003598698721444592,CMAESFme+kNN,digits6
