,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
17,,4,25,diagonal,2,0.9625,1.0,0.875,0.975,0.95,1.0,0.9,0.95,1.0,0.975,1.0,0.04220485754033533,0.06544890403747558,203.9644732236862,0.02371048927307129,0.9866666666666667,0.9916666666666667,0.9694444444444444,0.9972222222222222,0.9777777777777777,0.9833333333333333,0.9833333333333333,0.9972222222222222,0.9944444444444445,0.9888888888888889,0.9833333333333333,0.008498365855987991,JDEkNN+kNN,gaussians
18,,4,100,full,2,0.2925,0.275,0.25,0.275,0.35,0.275,0.225,0.35,0.225,0.425,0.275,0.060259853965969744,0.06908495426177978,234.96114931106567,0.025015711784362793,0.6427777777777778,0.6388888888888888,0.625,0.6138888888888889,0.5972222222222222,0.6333333333333333,0.6388888888888888,0.6138888888888889,0.6444444444444445,0.8083333333333333,0.6138888888888889,0.05694376693363896,JDEkNN+kNN,gaussians
19,,4,100,diagonal,2,0.9875,1.0,1.0,1.0,0.975,0.975,0.975,0.975,1.0,1.0,0.975,0.012500000000000011,0.07272100448608398,242.83801419734954,0.026300454139709474,0.9894444444444445,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9861111111111112,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9972222222222222,0.9527777777777777,0.012595315609727391,JDEkNN+kNN,gaussians
20,,8,25,full,2,0.285,0.25,0.225,0.3,0.375,0.275,0.25,0.375,0.2,0.275,0.325,0.05612486080160911,0.07635705471038819,251.1178771018982,0.027605676651000978,0.6227777777777778,0.6388888888888888,0.6388888888888888,0.6083333333333333,0.5972222222222222,0.6277777777777778,0.6416666666666667,0.6194444444444445,0.6138888888888889,0.6333333333333333,0.6083333333333333,0.01474055462380178,JDEkNN+kNN,gaussians
21,,8,25,diagonal,2,0.96,1.0,1.0,0.975,0.925,1.0,0.9,0.975,1.0,0.825,1.0,0.05612486080160913,0.07999310493469239,253.13419756889343,0.02867558002471924,0.9858333333333333,0.9944444444444445,0.9888888888888889,0.9944444444444445,0.9722222222222222,0.9916666666666667,0.9972222222222222,0.9861111111111112,0.9972222222222222,0.9555555555555556,0.9805555555555555,0.01257385588639586,JDEkNN+kNN,gaussians
22,,8,100,full,2,0.2875,0.275,0.225,0.275,0.35,0.3,0.25,0.375,0.275,0.275,0.275,0.042204857540335323,0.08362915515899658,285.0434535741806,0.029234933853149413,0.6244444444444445,0.6388888888888888,0.6444444444444445,0.6083333333333333,0.6,0.6361111111111111,0.6333333333333333,0.6222222222222222,0.6138888888888889,0.6361111111111111,0.6111111111111112,0.014529663145135574,JDEkNN+kNN,gaussians
23,,8,100,diagonal,2,0.9725,1.0,0.9,1.0,1.0,0.975,0.925,0.95,1.0,1.0,0.975,0.03436931771216879,0.08726520538330078,293.2038623332977,0.02978527545928955,0.9938888888888889,0.9916666666666667,0.9861111111111112,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.0032394177193584887,JDEkNN+kNN,gaussians
24,,1,25,full,4,0.315,0.325,0.275,0.25,0.35,0.2,0.225,0.45,0.35,0.45,0.275,0.08231038816577164,0.09090125560760498,301.50706748962403,0.03034365177154541,0.6005555555555555,0.5833333333333334,0.6194444444444445,0.5972222222222222,0.55,0.5527777777777778,0.5611111111111111,0.6361111111111111,0.5944444444444444,0.7222222222222222,0.5888888888888889,0.04826943413387955,JDEkNN+kNN,gaussians
25,,1,25,diagonal,4,0.9875,1.0,1.0,1.0,0.975,0.975,0.975,0.975,1.0,1.0,0.975,0.012500000000000011,0.09453730583190918,303.3893405675888,0.030890655517578126,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9972222222222222,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.9916666666666667,0.003726779962499661,JDEkNN+kNN,gaussians
26,,1,100,full,4,0.815,0.9,0.75,0.725,0.95,0.85,0.75,0.8,0.8,0.775,0.85,0.06819090848492927,0.09817335605621338,333.33188714981077,0.03145067691802979,0.88,0.8527777777777777,0.8805555555555555,0.8694444444444445,0.9722222222222222,0.8777777777777778,0.8805555555555555,0.85,0.9,0.8666666666666667,0.85,0.03426476432246506,JDEkNN+kNN,gaussians
27,,1,100,diagonal,4,0.985,1.0,1.0,1.0,0.975,0.975,0.975,0.975,1.0,0.95,1.0,0.016583123951777013,0.10180940628051757,340.7750709056854,0.03200232982635498,0.9913888888888889,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9944444444444445,0.9861111111111112,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.0029000851413640313,JDEkNN+kNN,gaussians
28,,4,25,full,4,0.26,0.275,0.25,0.25,0.35,0.15,0.25,0.375,0.15,0.275,0.275,0.06819090848492927,0.10544545650482177,348.6227914333343,0.032561230659484866,0.5536111111111112,0.575,0.55,0.5388888888888889,0.5444444444444444,0.5527777777777778,0.5611111111111111,0.5361111111111111,0.55,0.55,0.5777777777777777,0.013208326031076367,JDEkNN+kNN,gaussians
29,,4,25,diagonal,4,0.975,1.0,0.925,0.975,0.95,0.975,0.95,0.975,1.0,1.0,1.0,0.025,0.10908150672912598,350.5664043903351,0.0331118106842041,0.9866666666666667,0.9916666666666667,0.9666666666666667,0.9944444444444445,0.9833333333333333,0.9888888888888889,0.9805555555555555,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9861111111111112,0.007934920476158736,JDEkNN+kNN,gaussians
30,,4,100,full,4,0.2675,0.25,0.2,0.2,0.35,0.2,0.225,0.4,0.15,0.45,0.25,0.09357483636106449,0.11271755695343018,381.56308047771455,0.03367247581481934,0.5688888888888889,0.5694444444444444,0.5416666666666666,0.5444444444444444,0.5277777777777778,0.5638888888888889,0.5527777777777778,0.5305555555555556,0.5694444444444444,0.75,0.5388888888888889,0.06203593144399024,JDEkNN+kNN,gaussians
31,,4,100,diagonal,4,0.9875,1.0,1.0,1.0,0.975,1.0,0.95,0.975,1.0,1.0,0.975,0.016770509831248438,0.11635360717773438,389.4399453639984,0.034224653244018556,0.9888888888888889,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9888888888888889,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9611111111111111,0.009702360664762764,JDEkNN+kNN,gaussians
32,,8,25,full,4,0.2325,0.225,0.175,0.2,0.35,0.15,0.25,0.375,0.15,0.275,0.175,0.07586995452746759,0.11998965740203857,397.71980826854707,0.03478598594665527,0.5475,0.5583333333333333,0.5583333333333333,0.5416666666666666,0.5333333333333333,0.5527777777777778,0.5611111111111111,0.5333333333333333,0.5638888888888889,0.5416666666666666,0.5305555555555556,0.012136695708307495,JDEkNN+kNN,gaussians
33,,8,25,diagonal,4,0.9625,1.0,1.0,1.0,0.925,0.975,0.925,0.95,1.0,0.85,1.0,0.04776243293635699,0.12362570762634277,399.7361287355423,0.03534224033355713,0.9838888888888889,0.9944444444444445,0.9861111111111112,0.9944444444444445,0.9666666666666667,0.9972222222222222,1.0,0.9805555555555555,0.9888888888888889,0.9388888888888889,0.9916666666666667,0.01755942292142124,JDEkNN+kNN,gaussians
34,,8,100,full,4,0.2525,0.25,0.25,0.2,0.35,0.15,0.225,0.375,0.175,0.3,0.25,0.06841966091702004,0.12726175785064697,431.64538474082946,0.03590230941772461,0.5497222222222222,0.5694444444444444,0.5611111111111111,0.5527777777777778,0.525,0.5555555555555556,0.55,0.5333333333333333,0.5527777777777778,0.5555555555555556,0.5416666666666666,0.012450519350563872,JDEkNN+kNN,gaussians
35,,8,100,diagonal,4,0.975,1.0,0.925,0.975,1.0,0.975,0.925,0.975,1.0,1.0,0.975,0.02738612787525829,0.13089780807495116,439.8057934999466,0.03645091056823731,0.9905555555555555,0.9888888888888889,0.9722222222222222,0.9944444444444445,0.9861111111111112,0.9972222222222222,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.006938886664887114,JDEkNN+kNN,gaussians
36,,1,25,full,8,0.275,0.25,0.225,0.3,0.4,0.2,0.15,0.4,0.275,0.35,0.2,0.08215838362577492,0.13453385829925538,448.1089986562729,0.037012767791748044,0.48527777777777775,0.475,0.5083333333333333,0.4638888888888889,0.40555555555555556,0.4583333333333333,0.4305555555555556,0.4777777777777778,0.5111111111111111,0.6305555555555555,0.49166666666666664,0.057481210027041346,JDEkNN+kNN,gaussians
37,,1,25,diagonal,8,0.99,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.012247448713915901,0.13816990852355956,449.99127173423767,0.03756153583526611,0.9936111111111111,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.0017786456215091184,JDEkNN+kNN,gaussians
38,,1,100,full,8,0.805,0.775,0.75,0.75,0.9,0.9,0.775,0.875,0.725,0.775,0.825,0.06204836822995429,0.14180595874786378,479.9338183164597,0.03811986446380615,0.8563888888888889,0.8416666666666667,0.8527777777777777,0.8416666666666667,0.9388888888888889,0.8333333333333334,0.8694444444444445,0.8472222222222222,0.8555555555555555,0.8444444444444444,0.8388888888888889,0.02913490333933841,JDEkNN+kNN,gaussians
39,,1,100,diagonal,8,0.9875,1.0,1.0,1.0,0.975,0.975,0.975,1.0,0.975,1.0,0.975,0.012500000000000011,0.14544200897216797,487.3770020723343,0.03867542743682861,0.9925,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9972222222222222,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.0024999999999999914,JDEkNN+kNN,gaussians
40,,4,25,full,8,0.255,0.25,0.225,0.35,0.4,0.225,0.15,0.325,0.225,0.2,0.2,0.07399324293474371,0.14907805919647216,495.22472259998324,0.0392317533493042,0.4313888888888889,0.4361111111111111,0.4388888888888889,0.4361111111111111,0.4,0.44166666666666665,0.4305555555555556,0.40555555555555556,0.4305555555555556,0.4222222222222222,0.4722222222222222,0.01900495387010813,JDEkNN+kNN,gaussians
41,,4,25,diagonal,8,0.9625,1.0,0.9,0.975,0.925,0.95,0.9,0.975,1.0,1.0,1.0,0.03913118960624631,0.15271410942077637,497.16833555698395,0.039780712127685545,0.9836111111111111,0.9944444444444445,0.9611111111111111,0.9916666666666667,0.9722222222222222,0.9888888888888889,0.9722222222222222,0.9972222222222222,0.9888888888888889,0.9916666666666667,0.9777777777777777,0.011348165675453064,JDEkNN+kNN,gaussians
42,,4,100,full,8,0.2625,0.25,0.2,0.35,0.375,0.225,0.15,0.35,0.2,0.35,0.175,0.08081614937622306,0.15635015964508056,528.1650116443634,0.040343427658081056,0.44972222222222225,0.4444444444444444,0.43333333333333335,0.4305555555555556,0.4,0.4361111111111111,0.4388888888888889,0.4,0.41388888888888886,0.6416666666666667,0.4583333333333333,0.0664167770341571,JDEkNN+kNN,gaussians
43,,4,100,diagonal,8,0.985,0.95,1.0,1.0,0.975,1.0,0.975,0.975,1.0,1.0,0.975,0.016583123951777013,0.15998620986938478,536.0418765306473,0.04089505672454834,0.9880555555555556,1.0,0.9944444444444445,0.9916666666666667,0.9861111111111112,0.9944444444444445,0.9833333333333333,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.95,0.01343996711489218,JDEkNN+kNN,gaussians
44,,8,25,full,8,0.245,0.25,0.2,0.325,0.4,0.2,0.15,0.325,0.225,0.2,0.175,0.07566372975210779,0.16362226009368896,544.3217394351959,0.04145457744598389,0.42694444444444446,0.4361111111111111,0.4305555555555556,0.4305555555555556,0.4,0.4388888888888889,0.43333333333333335,0.4111111111111111,0.41944444444444445,0.41944444444444445,0.45,0.01383601045045808,JDEkNN+kNN,gaussians
45,,8,25,diagonal,8,0.955,1.0,1.0,1.0,0.925,0.95,0.95,0.925,1.0,0.825,0.975,0.05220153254455276,0.16725831031799315,546.3380599021912,0.0420053243637085,0.9786111111111111,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.95,0.9944444444444445,0.9972222222222222,0.9833333333333333,0.9944444444444445,0.9027777777777778,0.9916666666666667,0.02841084169689322,JDEkNN+kNN,gaussians
46,,8,100,full,8,0.25,0.25,0.225,0.35,0.375,0.2,0.15,0.325,0.225,0.2,0.2,0.07071067811865475,0.17089436054229737,578.2473159074783,0.04256570339202881,0.43166666666666664,0.4388888888888889,0.44166666666666665,0.42777777777777776,0.3972222222222222,0.4388888888888889,0.4361111111111111,0.40555555555555556,0.4305555555555556,0.4305555555555556,0.46944444444444444,0.01880701208867862,JDEkNN+kNN,gaussians
47,,8,100,diagonal,8,0.9825,1.0,0.9,0.975,1.0,0.975,1.0,0.975,1.0,1.0,1.0,0.02968585521759479,0.17453041076660156,586.4077246665954,0.04311747550964355,0.9916666666666667,0.9916666666666667,0.9694444444444444,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.007657804862272351,JDEkNN+kNN,gaussians
48,,1,25,full,16,0.295,0.35,0.25,0.325,0.3,0.275,0.225,0.35,0.275,0.3,0.3,0.03840572873934303,0.17816646099090577,594.7109298229218,0.043676900863647464,0.4211111111111111,0.4222222222222222,0.44722222222222224,0.41388888888888886,0.3888888888888889,0.4222222222222222,0.4111111111111111,0.39444444444444443,0.4111111111111111,0.48333333333333334,0.4166666666666667,0.025645975305741763,JDEkNN+kNN,gaussians
