,error,jdeknn__f__n_neighbors,jdeknn__f__weights,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,uniform,100,full,1,0.9568,0.9682539682539683,0.9166666666666666,0.9523809523809523,0.9523809523809523,0.9365079365079365,0.9682539682539683,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9508196721311475,0.019678094542465267,0.003597116470336914,34.450118613243106,0.0016398429870605469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
1,,1,uniform,100,diagonal,1,0.7616,0.8095238095238095,0.7166666666666667,0.7301587301587301,0.7619047619047619,0.8095238095238095,0.746031746031746,0.7777777777777778,0.7619047619047619,0.8095238095238095,0.6885245901639344,0.03967358820730413,0.007194232940673828,42.89741358757019,0.0031592845916748047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
2,,1,uniform,250,full,1,0.96,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9682539682539683,0.9682539682539683,0.9365079365079365,0.9365079365079365,0.9841269841269841,1.0,0.9508196721311475,0.024543398946335008,0.010791349411010741,126.84639248847961,0.004623699188232422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
3,,1,uniform,250,diagonal,1,0.7648,0.7619047619047619,0.7166666666666667,0.7777777777777778,0.7777777777777778,0.8095238095238095,0.7936507936507936,0.7619047619047619,0.7936507936507936,0.7619047619047619,0.6885245901639344,0.03487044963905053,0.014388465881347656,147.7678174495697,0.006114554405212402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
4,,1,uniform,500,full,1,0.9568,0.9682539682539683,0.9166666666666666,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9682539682539683,0.9344262295081968,0.019861041538824047,0.01798558235168457,315.0841946840286,0.007587075233459473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
5,,1,uniform,500,diagonal,1,0.7792,0.8253968253968254,0.7166666666666667,0.7777777777777778,0.7936507936507936,0.7777777777777778,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.8095238095238095,0.6721311475409836,0.04548025269954369,0.021582698822021483,356.7227388858795,0.009082221984863281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
6,,1,distance,100,full,1,0.952,0.9682539682539683,0.9166666666666666,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9047619047619048,0.9365079365079365,0.9841269841269841,1.0,0.9508196721311475,0.027974378779096337,0.0251798152923584,391.31423954963685,0.010548853874206543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
7,,1,distance,100,diagonal,1,0.7696,0.7777777777777778,0.6833333333333333,0.8253968253968254,0.7619047619047619,0.7777777777777778,0.7936507936507936,0.8253968253968254,0.7619047619047619,0.7936507936507936,0.6885245901639344,0.046525620408671246,0.028776931762695312,399.8785416841507,0.01205284595489502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
8,,1,distance,250,full,1,0.9648,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9523809523809523,0.9523809523809523,0.9841269841269841,1.0,0.9508196721311475,0.02200426923986161,0.03237404823303223,486.0234200716019,0.013541245460510254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
9,,1,distance,250,diagonal,1,0.7552,0.7936507936507936,0.6333333333333333,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.7777777777777778,0.7777777777777778,0.6557377049180327,0.057681186576840196,0.03597116470336914,507.42021400928496,0.015037798881530761,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
10,,1,distance,500,full,1,0.9584,0.9682539682539683,0.9166666666666666,0.9523809523809523,0.9682539682539683,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9508196721311475,0.018605130069865725,0.03956828117370605,678.7511311054229,0.016537404060363768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
11,,1,distance,500,diagonal,1,0.76,0.8095238095238095,0.6333333333333333,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.8253968253968254,0.7936507936507936,0.7142857142857143,0.7213114754098361,0.0547274995448709,0.043165397644042966,721.4564121484757,0.01788301467895508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
12,,4,uniform,100,full,1,0.9488,0.9841269841269841,0.9,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9206349206349206,0.8888888888888888,0.9206349206349206,0.9841269841269841,0.9836065573770492,0.03521368308318183,0.046762514114379886,758.0112174034118,0.018546175956726075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
13,,4,uniform,100,diagonal,1,0.7648,0.8095238095238095,0.7166666666666667,0.7301587301587301,0.8253968253968254,0.8095238095238095,0.7301587301587301,0.7777777777777778,0.7619047619047619,0.7936507936507936,0.6885245901639344,0.043833955219254386,0.0503596305847168,767.1095849752426,0.01920042037963867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
14,,4,uniform,250,full,1,0.9408,0.9841269841269841,0.9166666666666666,0.9047619047619048,0.9206349206349206,0.9047619047619048,0.9206349206349206,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.03130401036103375,0.05395674705505371,857.8715747833252,0.019838643074035645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
15,,4,uniform,250,diagonal,1,0.7792,0.8095238095238095,0.7333333333333333,0.7301587301587301,0.8095238095238095,0.8412698412698413,0.7619047619047619,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.7704918032786885,0.033293926206905376,0.057553863525390624,880.4362528085709,0.02049674987792969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
16,,4,uniform,500,full,1,0.9488,0.9841269841269841,0.8666666666666667,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9365079365079365,0.9365079365079365,0.9841269841269841,1.0,0.8688524590163934,0.04437152976345016,0.061150979995727536,1060.7632888317107,0.021149086952209472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
17,,4,uniform,500,diagonal,1,0.776,0.7936507936507936,0.6333333333333333,0.7619047619047619,0.8253968253968254,0.8253968253968254,0.746031746031746,0.8095238095238095,0.7777777777777778,0.7619047619047619,0.819672131147541,0.05465547205228654,0.06474809646606446,1105.826319050789,0.021803879737854005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
18,,4,distance,100,full,1,0.9344,0.9841269841269841,0.9,0.9682539682539683,0.9523809523809523,0.9206349206349206,0.9365079365079365,0.8888888888888888,0.8412698412698413,1.0,0.9508196721311475,0.04542773180781289,0.06834521293640136,1143.7396129608155,0.02244441509246826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
19,,4,distance,100,diagonal,1,0.7856,0.8253968253968254,0.6833333333333333,0.7619047619047619,0.8095238095238095,0.8253968253968254,0.7936507936507936,0.7619047619047619,0.8253968253968254,0.8095238095238095,0.7540983606557377,0.04304785939182576,0.07194232940673828,1153.167555642128,0.023098683357238768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
20,,4,distance,250,full,1,0.9568,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9047619047619048,0.9523809523809523,0.9841269841269841,1.0,0.9344262295081968,0.029120022497173985,0.0755394458770752,1247.3591151714324,0.023740339279174804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
21,,4,distance,250,diagonal,1,0.7888,0.7619047619047619,0.7,0.7619047619047619,0.8253968253968254,0.8571428571428571,0.746031746031746,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.8360655737704918,0.04458830773438317,0.0791365623474121,1270.7872905492782,0.024395442008972167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
22,,4,distance,500,full,1,0.96,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9523809523809523,0.9365079365079365,0.9523809523809523,0.9841269841269841,1.0,0.9508196721311475,0.0234944228543277,0.08273367881774903,1457.8547670841217,0.025037169456481934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
23,,4,distance,500,diagonal,1,0.776,0.8253968253968254,0.7333333333333333,0.8095238095238095,0.7619047619047619,0.7936507936507936,0.7936507936507936,0.7777777777777778,0.7936507936507936,0.7936507936507936,0.6721311475409836,0.0419741270444875,0.08633079528808593,1504.7152308702468,0.02568526268005371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
24,,8,uniform,100,full,1,0.9136,0.9365079365079365,0.9,0.9523809523809523,0.9206349206349206,0.8571428571428571,0.9365079365079365,0.8888888888888888,0.873015873015873,1.0,0.8688524590163934,0.04207131270823428,0.08992791175842285,1544.0596053361892,0.026323747634887696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
25,,8,uniform,100,diagonal,1,0.7728,0.7936507936507936,0.6833333333333333,0.7619047619047619,0.7777777777777778,0.8095238095238095,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7301587301587301,0.8360655737704918,0.0397816555018876,0.09352502822875977,1553.9015061616897,0.02697334289550781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
26,,8,uniform,250,full,1,0.9184,0.9682539682539683,0.9166666666666666,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9365079365079365,0.9206349206349206,0.9047619047619048,0.7936507936507936,0.8852459016393442,0.04809662954371261,0.09712214469909668,1651.6908843755723,0.02761082649230957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
27,,8,uniform,250,diagonal,1,0.7696,0.7936507936507936,0.6333333333333333,0.7936507936507936,0.7936507936507936,0.8095238095238095,0.746031746031746,0.7777777777777778,0.746031746031746,0.7777777777777778,0.819672131147541,0.050643195329835265,0.1007192611694336,1676.2493273973464,0.028266167640686034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
28,,8,uniform,500,full,1,0.936,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.8571428571428571,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9047619047619048,1.0,0.8852459016393442,0.042582669107039464,0.1043163776397705,1871.2102432966233,0.02891249656677246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
29,,8,uniform,500,diagonal,1,0.7872,0.7619047619047619,0.7333333333333333,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8412698412698413,0.7301587301587301,0.8095238095238095,0.8032786885245902,0.03551067737058933,0.10791349411010742,1920.2039909362793,0.029564523696899415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
30,,8,distance,100,full,1,0.9504,0.9682539682539683,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9365079365079365,0.9841269841269841,0.9206349206349206,0.9508196721311475,0.02123093288771162,0.11151061058044434,1961.2824184179306,0.030205440521240235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
31,,8,distance,100,diagonal,1,0.7856,0.746031746031746,0.6833333333333333,0.7619047619047619,0.7936507936507936,0.8412698412698413,0.7936507936507936,0.8412698412698413,0.7619047619047619,0.7619047619047619,0.8688524590163934,0.05192964451103659,0.11510772705078125,1971.554172039032,0.030855369567871094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
32,,8,distance,250,full,1,0.9584,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9365079365079365,0.9841269841269841,0.9841269841269841,0.9508196721311475,0.02230072744687109,0.11870484352111817,2073.572384572029,0.031488680839538576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
33,,8,distance,250,diagonal,1,0.8048,0.8095238095238095,0.7666666666666667,0.8253968253968254,0.7936507936507936,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.8253968253968254,0.7777777777777778,0.8688524590163934,0.03027667781355966,0.12230195999145507,2099.194438862801,0.032140254974365234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,balance-scale
