,cmaes__knn_weights,cmaes__metric,cmaes__n_gen,cmaes__n_neighbors,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,uniform,diagonal,100,1,,1,0.905982905982906,0.9722222222222222,0.9117647058823529,0.8055555555555556,0.9444444444444444,0.9166666666666666,0.9722222222222222,0.8571428571428571,0.7647058823529411,0.9705882352941176,0.9411764705882353,0.06945766808322142,0.004129171371459961,73.10651195049286,0.0018172502517700196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
1,uniform,diagonal,100,4,,1,0.9002849002849003,0.8055555555555556,0.9411764705882353,0.9166666666666666,0.8888888888888888,0.8611111111111112,0.9722222222222222,0.8857142857142857,0.8529411764705882,0.9117647058823529,0.9705882352941176,0.05027943061628445,0.008258342742919922,146.31933648586272,0.0034087181091308595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
2,uniform,diagonal,100,8,,1,0.9088319088319088,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.9142857142857143,0.8823529411764706,0.9117647058823529,0.9117647058823529,0.03916625452634302,0.012387514114379883,219.71315293312074,0.005033302307128906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
3,uniform,diagonal,100,16,,1,0.8945868945868946,0.9444444444444444,0.9411764705882353,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9722222222222222,0.8857142857142857,0.9117647058823529,0.7647058823529411,0.9117647058823529,0.05522174130815157,0.016516685485839844,293.2261872768402,0.006651544570922851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
4,uniform,diagonal,250,1,,1,0.9002849002849003,0.9444444444444444,0.9117647058823529,0.8611111111111112,0.9166666666666666,0.8611111111111112,0.9444444444444444,0.8857142857142857,0.8235294117647058,0.9705882352941176,0.8823529411764706,0.04328642569280115,0.020645856857299805,475.1282289505005,0.00838329792022705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
5,uniform,diagonal,250,4,,1,0.8945868945868946,0.9166666666666666,0.9705882352941176,0.8611111111111112,0.9722222222222222,0.8333333333333334,0.8888888888888888,0.9142857142857143,0.7941176470588235,0.9117647058823529,0.8823529411764706,0.05303101871621477,0.024775028228759766,657.6737792730331,0.010013437271118164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
6,uniform,diagonal,250,8,,1,0.9116809116809117,0.9166666666666666,0.9411764705882353,0.9166666666666666,0.9444444444444444,0.8611111111111112,0.9444444444444444,0.9142857142857143,0.8823529411764706,0.9411764705882353,0.8529411764705882,0.03287997512016921,0.028904199600219727,840.57909886837,0.011641263961791992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
7,uniform,diagonal,250,16,,1,0.9088319088319088,0.9444444444444444,0.9705882352941176,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.8857142857142857,0.8235294117647058,0.9411764705882353,0.8235294117647058,0.047608542487459875,0.03303337097167969,1024.3924325227738,0.013276767730712891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
8,uniform,diagonal,1000,1,,1,0.9031339031339032,0.8611111111111112,0.9705882352941176,0.9166666666666666,0.9722222222222222,0.8611111111111112,0.9166666666666666,0.8285714285714286,0.8529411764705882,0.9411764705882353,0.9117647058823529,0.047772131090708145,0.03716254234313965,1748.5842570781708,0.014867496490478516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
9,uniform,diagonal,1000,4,,1,0.905982905982906,0.9444444444444444,0.9117647058823529,0.9444444444444444,0.9166666666666666,0.8888888888888888,0.9722222222222222,0.8857142857142857,0.8529411764705882,0.8823529411764706,0.8529411764705882,0.0379163542334326,0.04129171371459961,2476.0108911037446,0.016471481323242186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
10,uniform,diagonal,1000,8,,1,0.9230769230769231,0.8888888888888888,0.9411764705882353,0.9444444444444444,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.9142857142857143,0.8529411764705882,0.9411764705882353,0.8823529411764706,0.03715509946498295,0.04542088508605957,3206.528786730766,0.01784636974334717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,ionosphere
